Treads,App,Time,Energy,CO2eq,travelled
2,leukocyte,423.0431,0.005,2.0124,0.0187
4,leukocyte,220.5667,0.003,1.201,0.0112
6,leukocyte,156.1833,0.0023,0.9148,0.0085
8,leukocyte,134.807,0.002,0.8219,0.0077
10,leukocyte,113.7693,0.0018,0.7288,0.0068
12,leukocyte,90.6511,0.0015,0.6229,0.0058
14,leukocyte,90.4718,0.0015,0.6181,0.0057
16,leukocyte,86.5146,0.0015,0.5992,0.0056
18,leukocyte,68.8023,0.0013,0.5119,0.0048
20,leukocyte,68.1092,0.0013,0.5177,0.0048
22,leukocyte,67.0741,0.0013,0.5144,0.0048
24,leukocyte,66.2613,0.0013,0.5151,0.0048
26,leukocyte,65.0666,0.0013,0.5084,0.0047
28,leukocyte,65.8678,0.0013,0.5103,0.0048
30,leukocyte,66.2762,0.0013,0.5116,0.0048
32,leukocyte,62.1551,0.0012,0.4882,0.0045
34,leukocyte,58.9594,0.0012,0.4699,0.0044
36,leukocyte,41.8296,0.001,0.3979,0.0037
38,leukocyte,41.9894,0.001,0.4003,0.0037
40,leukocyte,42.512,0.001,0.4008,0.0037
42,leukocyte,42.7371,0.001,0.4016,0.0037
44,leukocyte,43.3562,0.001,0.4056,0.0038
46,leukocyte,42.3318,0.001,0.3985,0.0037
48,leukocyte,41.8319,0.001,0.3989,0.0037
50,leukocyte,41.6733,0.001,0.3958,0.0037
52,leukocyte,42.0533,0.001,0.4,0.0037
54,leukocyte,42.0317,0.001,0.3989,0.0037
56,leukocyte,41.9813,0.001,0.4002,0.0037
58,leukocyte,42.0684,0.001,0.4006,0.0037
60,leukocyte,41.5619,0.001,0.3975,0.0037
62,leukocyte,41.9598,0.001,0.4018,0.0037
64,leukocyte,42.258,0.001,0.4041,0.0038
66,leukocyte,43.1269,0.001,0.4077,0.0038
68,leukocyte,46.4803,0.001,0.4219,0.0039
70,leukocyte,45.9789,0.001,0.4164,0.0039
72,leukocyte,48.5768,0.0011,0.4294,0.004
74,leukocyte,50.3758,0.0011,0.4416,0.0041
76,leukocyte,49.4923,0.0011,0.4324,0.004
78,leukocyte,48.2492,0.0011,0.4338,0.004
80,leukocyte,53.266,0.0011,0.4523,0.0042
82,leukocyte,53.3116,0.0011,0.4525,0.0042
84,leukocyte,51.9497,0.0011,0.4459,0.0042
86,leukocyte,56.5146,0.0012,0.4686,0.0044
88,leukocyte,53.9986,0.0011,0.4545,0.0042
