Treads,App,Time,Energy,CO2eq,travelled
2,srad,148.7032,0.0049,2.1521,0.02
4,srad,74.5678,0.0026,1.1352,0.0106
6,srad,52.5058,0.0019,0.8216,0.0076
8,srad,42.6605,0.0015,0.6859,0.0064
10,srad,33.9731,0.0013,0.5606,0.0052
12,srad,29.1508,0.0011,0.4905,0.0046
14,srad,26.4794,0.001,0.453,0.0042
16,srad,24.9851,0.001,0.431,0.004
18,srad,22.8617,0.0009,0.3992,0.0037
20,srad,20.9632,0.0008,0.3738,0.0035
22,srad,19.3365,0.0008,0.3527,0.0033
24,srad,18.0547,0.0008,0.3357,0.0031
26,srad,16.9579,0.0007,0.3204,0.003
28,srad,16.2308,0.0007,0.3132,0.0029
30,srad,15.5621,0.0007,0.3058,0.0028
32,srad,14.4997,0.0007,0.2909,0.0027
34,srad,14.5514,0.0007,0.2945,0.0028
36,srad,14.0964,0.0007,0.2891,0.0027
38,srad,13.5486,0.0006,0.2823,0.0026
40,srad,13.1744,0.0006,0.279,0.0026
42,srad,12.7501,0.0006,0.2737,0.0026
44,srad,12.3452,0.0006,0.2458,0.0023
46,srad,11.8054,0.0006,0.242,0.0023
48,srad,11.3743,0.0006,0.2369,0.0022
50,srad,10.9362,0.0006,0.2281,0.0021
52,srad,10.5861,0.0006,0.2267,0.0021
54,srad,10.2384,0.0005,0.2225,0.0021
56,srad,9.919,0.0005,0.2189,0.002
58,srad,9.6534,0.0005,0.2158,0.002
60,srad,9.3641,0.0005,0.2116,0.002
62,srad,9.0265,0.0005,0.205,0.0019
64,srad,8.6839,0.0005,0.2014,0.0019
66,srad,8.5973,0.0005,0.2013,0.0019
68,srad,8.4042,0.0005,0.1989,0.0019
70,srad,8.2126,0.0005,0.1971,0.0018
72,srad,7.9922,0.0005,0.1944,0.0018
74,srad,7.8415,0.0005,0.1931,0.0018
76,srad,7.6664,0.0005,0.1912,0.0018
78,srad,7.5322,0.0005,0.1905,0.0018
80,srad,7.3837,0.0005,0.1884,0.0018
82,srad,7.2056,0.0005,0.1863,0.0018
84,srad,7.0433,0.0005,0.1837,0.0017
86,srad,6.9575,0.0004,0.1805,0.0017
88,srad,6.8828,0.0004,0.176,0.0016
