Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,kmeans,274.363746,0:04:35,0.0091,4.3595,0.0406
4,kmeans,139.102491,0:02:20,0.0049,2.3337,0.0217
6,kmeans,97.973627,0:01:39,0.0035,1.6885,0.0157
8,kmeans,75.770931,0:01:17,0.0028,1.3473,0.0125
10,kmeans,63.155220,0:01:04,0.0024,1.1576,0.0108
12,kmeans,54.118998,0:00:55,0.0021,1.0134,0.0094
14,kmeans,47.914478,0:00:49,0.0019,0.9128,0.0085
16,kmeans,43.381294,0:00:44,0.0017,0.8363,0.0078
18,kmeans,39.508893,0:00:40,0.0016,0.7701,0.0072
20,kmeans,35.614050,0:00:36,0.0015,0.7129,0.0066
22,kmeans,32.445360,0:00:33,0.0014,0.6664,0.0062
24,kmeans,29.682263,0:00:30,0.0013,0.6227,0.0058
26,kmeans,27.407462,0:00:28,0.0012,0.5888,0.0055
28,kmeans,25.534673,0:00:26,0.0012,0.5600,0.0052
30,kmeans,23.758074,0:00:25,0.0011,0.5330,0.0050
32,kmeans,22.353250,0:00:23,0.0011,0.5122,0.0048
34,kmeans,NaN,0:00:00,0.0000,0.0000,0.0000
36,kmeans,NaN,0:00:00,0.0000,0.0000,0.0000
38,kmeans,NaN,0:00:00,0.0000,0.0000,0.0000
40,kmeans,NaN,0:00:00,0.0000,0.0000,0.0000
42,kmeans,NaN,0:00:00,0.0000,0.0000,0.0000
44,kmeans,NaN,0:00:00,0.0000,0.0000,0.0000
46,kmeans,NaN,0:00:00,0.0000,0.0000,0.0000
48,kmeans,NaN,0:00:00,0.0000,0.0000,0.0000
50,kmeans,NaN,0:00:00,0.0000,0.0000,0.0000
52,kmeans,NaN,0:00:00,0.0000,0.0000,0.0000
54,kmeans,NaN,0:00:00,0.0000,0.0000,0.0000
56,kmeans,NaN,0:00:00,0.0000,0.0000,0.0000
58,kmeans,NaN,0:00:00,0.0000,0.0000,0.0000
60,kmeans,NaN,0:00:00,0.0000,0.0000,0.0000
62,kmeans,NaN,0:00:00,0.0000,0.0000,0.0000
64,kmeans,NaN,0:00:00,0.0000,0.0000,0.0000
66,kmeans,NaN,0:00:00,0.0000,0.0000,0.0000
68,kmeans,NaN,0:00:00,0.0000,0.0000,0.0000
70,kmeans,NaN,0:00:00,0.0000,0.0000,0.0000
72,kmeans,NaN,0:00:00,0.0000,0.0000,0.0000
74,kmeans,NaN,0:00:00,0.0000,0.0000,0.0000
76,kmeans,NaN,0:00:00,0.0000,0.0000,0.0000
78,kmeans,NaN,0:00:00,0.0000,0.0000,0.0000
80,kmeans,NaN,0:00:00,0.0000,0.0000,0.0000
82,kmeans,NaN,0:00:00,0.0000,0.0000,0.0000
84,kmeans,NaN,0:00:00,0.0000,0.0000,0.0000
86,kmeans,NaN,0:00:00,0.0000,0.0000,0.0000
88,kmeans,NaN,0:00:00,0.0000,0.0000,0.0000
