Treads,App,TimeCT,Energy,CO2eq,travelled
2,leukocyte,0:00:00,0.0,0.0,0.0
4,leukocyte,0:00:00,0.0,0.0,0.0
6,leukocyte,0:00:00,0.0,0.0,0.0
8,leukocyte,0:00:00,0.0,0.0,0.0
10,leukocyte,0:00:00,0.0,0.0,0.0
12,leukocyte,0:00:00,0.0,0.0,0.0
14,leukocyte,0:00:00,0.0,0.0,0.0
16,leukocyte,0:00:00,0.0,0.0,0.0
18,leukocyte,0:00:00,0.0,0.0,0.0
20,leukocyte,0:00:00,0.0,0.0,0.0
22,leukocyte,0:00:00,0.0,0.0,0.0
24,leukocyte,0:00:00,0.0,0.0,0.0
26,leukocyte,0:00:00,0.0,0.0,0.0
28,leukocyte,0:00:00,0.0,0.0,0.0
30,leukocyte,0:00:00,0.0,0.0,0.0
32,leukocyte,0:00:00,0.0,0.0,0.0
34,leukocyte,0:00:00,0.0,0.0,0.0
36,leukocyte,0:00:00,0.0,0.0,0.0
38,leukocyte,0:00:00,0.0,0.0,0.0
40,leukocyte,0:00:00,0.0,0.0,0.0
42,leukocyte,0:00:00,0.0,0.0,0.0
44,leukocyte,0:00:00,0.0,0.0,0.0
46,leukocyte,0:00:00,0.0,0.0,0.0
48,leukocyte,0:00:00,0.0,0.0,0.0
50,leukocyte,0:00:00,0.0,0.0,0.0
52,leukocyte,0:00:00,0.0,0.0,0.0
54,leukocyte,0:00:00,0.0,0.0,0.0
56,leukocyte,0:00:00,0.0,0.0,0.0
58,leukocyte,0:00:00,0.0,0.0,0.0
60,leukocyte,0:00:00,0.0,0.0,0.0
62,leukocyte,0:00:00,0.0,0.0,0.0
64,leukocyte,0:00:00,0.0,0.0,0.0
66,leukocyte,0:00:00,0.0,0.0,0.0
68,leukocyte,0:00:00,0.0,0.0,0.0
70,leukocyte,0:00:00,0.0,0.0,0.0
72,leukocyte,0:00:00,0.0,0.0,0.0
74,leukocyte,0:00:00,0.0,0.0,0.0
76,leukocyte,0:00:00,0.0,0.0,0.0
78,leukocyte,0:00:00,0.0,0.0,0.0
80,leukocyte,0:00:00,0.0,0.0,0.0
82,leukocyte,0:00:00,0.0,0.0,0.0
84,leukocyte,0:00:00,0.0,0.0,0.0
86,leukocyte,0:00:00,0.0,0.0,0.0
88,leukocyte,0:00:00,0.0,0.0,0.0
