Treads,App,Time,Energy,CO2eq,travelled
2,backprop,41.2199,0.0007,0.1677,0.0016
4,backprop,34.885,0.0006,0.1423,0.0013
6,backprop,33.0596,0.0005,0.1318,0.0012
8,backprop,31.22,0.0005,0.1225,0.0011
10,backprop,30.9522,0.0005,0.1391,0.0013
12,backprop,30.8114,0.0005,0.1375,0.0012
14,backprop,30.6821,0.0005,0.1369,0.0012
16,backprop,29.0503,0.0004,0.1298,0.0012
18,backprop,29.0489,0.0004,0.1282,0.0012
20,backprop,29.0779,0.0004,0.1285,0.0012
22,backprop,28.9204,0.0004,0.1272,0.0012
24,backprop,29.0206,0.0004,0.1278,0.0012
26,backprop,29.6114,0.0004,0.1277,0.0012
28,backprop,28.9801,0.0004,0.1264,0.0012
30,backprop,28.8585,0.0004,0.1258,0.0012
32,backprop,29.026,0.0004,0.1273,0.0012
34,backprop,29.0632,0.0004,0.1266,0.0012
36,backprop,29.4102,0.0004,0.1272,0.0012
38,backprop,28.9182,0.0004,0.1254,0.0012
40,backprop,29.0066,0.0004,0.1259,0.0012
