Treads,App,Time,Energy,CO2eq,travelled
2,cfd,179.252,0.0026,0.7548,0.007
4,cfd,92.845,0.0015,0.423,0.0039
6,cfd,66.4569,0.0011,0.3168,0.003
8,cfd,52.3319,0.0009,0.2589,0.0024
10,cfd,43.6748,0.0008,0.2233,0.0021
12,cfd,36.8856,0.0007,0.1972,0.0018
14,cfd,31.9051,0.0006,0.179,0.0017
16,cfd,28.2037,0.0006,0.1644,0.0015
18,cfd,25.4458,0.0005,0.1526,0.0014
20,cfd,23.4138,0.0005,0.1455,0.0014
22,cfd,21.5201,0.0006,0.1602,0.0015
24,cfd,19.7929,0.0005,0.1752,0.0016
26,cfd,18.3263,0.0005,0.1679,0.0016
28,cfd,17.1235,0.0005,0.153,0.0014
30,cfd,16.2619,0.0005,0.1533,0.0014
32,cfd,15.3058,0.0004,0.1411,0.0013
34,cfd,14.645,0.0004,0.1451,0.0013
36,cfd,13.9895,0.0004,0.1394,0.0013
38,cfd,13.3398,0.0004,0.1293,0.0012
40,cfd,12.7918,0.0004,0.135,0.0013
