Treads,App,Time,Energy,CO2eq,travelled
2,kmeans,303.2856,0.0046,1.3335,0.0124
4,kmeans,153.9829,0.0025,0.7306,0.0068
6,kmeans,109.7409,0.0019,0.5456,0.0051
8,kmeans,85.5801,0.0015,0.4445,0.0041
10,kmeans,70.7016,0.0013,0.3839,0.0036
12,kmeans,59.1152,0.0012,0.3391,0.0032
14,kmeans,50.7976,0.0011,0.3047,0.0028
16,kmeans,44.5757,0.001,0.2814,0.0026
18,kmeans,39.7673,0.0009,0.263,0.0024
20,kmeans,35.8833,0.0009,0.2489,0.0023
22,kmeans,32.8737,0.0009,0.2727,0.0025
24,kmeans,30.0538,0.0009,0.2615,0.0024
26,kmeans,27.9782,0.0009,0.2516,0.0024
28,kmeans,25.9503,0.0008,0.2395,0.0022
30,kmeans,24.67,0.0008,0.2312,0.0022
32,kmeans,22.8633,0.0008,0.2193,0.002
34,kmeans,21.8762,0.0007,0.217,0.002
36,kmeans,20.494,0.0007,0.2085,0.002
38,kmeans,19.8405,0.0007,0.2066,0.0019
40,kmeans,18.5544,0.0007,0.1966,0.0018
