Treads,App,Time,Energy,CO2eq,travelled
2,leukocyte,943.2992,0.0143,4.1479,0.0386
4,leukocyte,502.5608,0.0083,2.4037,0.0224
6,leukocyte,359.2946,0.0062,1.5672,0.0146
8,leukocyte,311.3296,0.0056,1.408,0.0131
10,leukocyte,256.1006,0.0048,1.2084,0.0112
12,leukocyte,198.1169,0.004,1.0066,0.0094
14,leukocyte,195.3567,0.004,1.0105,0.0094
16,leukocyte,190.0565,0.0039,0.9864,0.0092
18,leukocyte,138.5781,0.0032,0.8187,0.0076
20,leukocyte,136.1433,0.0032,0.8177,0.0076
22,leukocyte,136.0775,0.0034,0.8485,0.0079
24,leukocyte,135.8012,0.0034,0.8609,0.008
26,leukocyte,135.7771,0.0035,0.8814,0.0082
28,leukocyte,134.2825,0.0035,0.8838,0.0082
30,leukocyte,130.5097,0.0035,0.883,0.0082
32,leukocyte,126.3942,0.0035,0.8717,0.0081
34,leukocyte,121.8932,0.0034,0.8554,0.008
36,leukocyte,75.6846,0.0027,0.6849,0.0064
38,leukocyte,75.8094,0.0028,0.6959,0.0065
40,leukocyte,75.6738,0.0028,0.7,0.0065
