Treads,App,Time,Energy,CO2eq,travelled
2,srad,202.3061,0.003,0.9848,0.0092
4,srad,100.9119,0.0016,0.5271,0.0049
6,srad,71.5757,0.0012,0.3924,0.0037
8,srad,57.5576,0.001,0.3288,0.003
10,srad,46.671,0.0009,0.2787,0.0026
12,srad,39.6541,0.0008,0.2496,0.0023
14,srad,35.2136,0.0007,0.232,0.0022
16,srad,32.006,0.0007,0.2196,0.002
18,srad,29.3057,0.0006,0.2093,0.002
20,srad,27.0933,0.0006,0.2019,0.0019
22,srad,23.7681,0.0007,0.2156,0.002
24,srad,21.9279,0.0006,0.2064,0.0019
26,srad,20.4068,0.0006,0.1998,0.0019
28,srad,19.1396,0.0006,0.1898,0.0017
30,srad,18.0334,0.0006,0.1856,0.0017
32,srad,16.7573,0.0005,0.1783,0.0017
34,srad,16.211,0.0005,0.1764,0.0016
36,srad,15.4832,0.0005,0.1734,0.0016
38,srad,14.7562,0.0005,0.1683,0.0016
40,srad,14.0796,0.0005,0.1649,0.0016
