Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,backprop,42626.680,0:00:43,0.0007,0.0689,0.0006
4,backprop,34635.713,0:00:35,0.0006,0.0553,0.0005
6,backprop,33626.104,0:00:34,0.0005,0.0526,0.0005
8,backprop,31535.408,0:00:32,0.0005,0.0486,0.0005
10,backprop,31213.962,0:00:31,0.0005,0.0479,0.0004
12,backprop,31255.551,0:00:31,0.0005,0.0482,0.0004
14,backprop,31078.947,0:00:31,0.0005,0.0475,0.0004
16,backprop,29147.294,0:00:29,0.0005,0.0444,0.0004
18,backprop,29070.280,0:00:29,0.0004,0.0440,0.0004
20,backprop,29110.494,0:00:29,0.0004,0.0441,0.0004
22,backprop,29014.760,0:00:29,0.0004,0.0434,0.0004
24,backprop,29049.813,0:00:29,0.0004,0.0436,0.0004
26,backprop,29108.947,0:00:29,0.0004,0.0436,0.0004
28,backprop,29059.900,0:00:29,0.0004,0.0433,0.0004
30,backprop,29049.251,0:00:29,0.0004,0.0432,0.0004
32,backprop,29232.771,0:00:29,0.0004,0.0436,0.0004
34,backprop,29179.354,0:00:29,0.0004,0.0438,0.0004
36,backprop,28816.340,0:00:29,0.0004,0.0428,0.0004
38,backprop,29531.844,0:00:30,0.0004,0.0439,0.0004
40,backprop,29535.010,0:00:30,0.0004,0.0442,0.0004
