Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,cfd,178930.303,0:02:59,0.0026,1.2540,0.0117
4,cfd,93377.215,0:01:33,0.0015,0.7072,0.0066
6,cfd,66224.061,0:01:06,0.0011,0.5283,0.0049
8,cfd,51941.041,0:00:52,0.0009,0.4301,0.0040
10,cfd,43251.214,0:00:43,0.0008,0.3682,0.0034
12,cfd,37352.636,0:00:37,0.0007,0.3319,0.0031
14,cfd,32241.679,0:00:32,0.0006,0.3023,0.0028
16,cfd,28234.805,0:00:28,0.0006,0.2762,0.0026
18,cfd,25433.752,0:00:25,0.0005,0.2547,0.0024
20,cfd,23260.100,0:00:23,0.0005,0.2410,0.0022
22,cfd,21457.405,0:00:21,0.0006,0.2656,0.0025
24,cfd,19690.571,0:00:20,0.0005,0.2554,0.0024
26,cfd,18520.062,0:00:19,0.0005,0.2526,0.0024
28,cfd,17170.168,0:00:17,0.0005,0.2271,0.0021
30,cfd,16415.899,0:00:16,0.0005,0.2319,0.0022
32,cfd,15537.484,0:00:16,0.0004,0.2119,0.0020
34,cfd,14638.642,0:00:15,0.0005,0.2183,0.0020
36,cfd,13944.145,0:00:14,0.0004,0.2057,0.0019
38,cfd,13378.391,0:00:13,0.0004,0.1923,0.0018
40,cfd,12814.530,0:00:13,0.0004,0.2024,0.0019
