Treads,App,TimeCT,Energy,CO2eq,travelled
2,kmeans,0:05:03,0.0047,0.4576,0.0043
4,kmeans,0:02:34,0.0025,0.2494,0.0023
6,kmeans,0:01:50,0.0019,0.1863,0.0017
8,kmeans,0:01:26,0.0015,0.1521,0.0014
10,kmeans,0:01:11,0.0013,0.1307,0.0012
12,kmeans,0:00:59,0.0012,0.1146,0.0011
14,kmeans,0:00:51,0.0011,0.1034,0.0010
16,kmeans,0:00:45,0.0010,0.0957,0.0009
18,kmeans,0:00:40,0.0009,0.0894,0.0008
20,kmeans,0:00:36,0.0009,0.4156,0.0039
22,kmeans,0:00:33,0.0009,0.4541,0.0042
24,kmeans,0:00:30,0.0009,0.4347,0.0040
26,kmeans,0:00:28,0.0009,0.4170,0.0039
28,kmeans,0:00:26,0.0008,0.3961,0.0037
30,kmeans,0:00:25,0.0008,0.3837,0.0036
32,kmeans,0:00:23,0.0008,0.3636,0.0034
34,kmeans,0:00:22,0.0007,0.3590,0.0033
36,kmeans,0:00:20,0.0007,0.3450,0.0032
38,kmeans,0:00:20,0.0007,0.3420,0.0032
40,kmeans,0:00:19,0.0007,0.3263,0.0030
