Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,kmeans,303392.397,0:05:03,0.0046,0.4548,0.0042
4,kmeans,154036.697,0:02:34,0.0025,0.2487,0.0023
6,kmeans,109735.971,0:01:50,0.0019,0.1862,0.0017
8,kmeans,85568.871,0:01:26,0.0015,0.1522,0.0014
10,kmeans,70710.224,0:01:11,0.0013,0.1309,0.0012
12,kmeans,59088.996,0:00:59,0.0012,0.1159,0.0011
14,kmeans,50757.542,0:00:51,0.0011,0.1040,0.0010
16,kmeans,44587.487,0:00:45,0.0010,0.0958,0.0009
18,kmeans,39751.772,0:00:40,0.0009,0.0895,0.0008
20,kmeans,35882.215,0:00:36,0.0009,0.0847,0.0008
22,kmeans,32876.706,0:00:33,0.0009,0.0927,0.0009
24,kmeans,30072.308,0:00:30,0.0009,0.0891,0.0008
26,kmeans,27937.562,0:00:28,0.0009,0.0854,0.0008
28,kmeans,25959.221,0:00:26,0.0008,0.0814,0.0008
30,kmeans,24652.586,0:00:25,0.0008,0.0784,0.0007
32,kmeans,22871.146,0:00:23,0.0008,0.0741,0.0007
34,kmeans,21873.732,0:00:22,0.0007,0.0734,0.0007
36,kmeans,20500.060,0:00:21,0.0007,0.0705,0.0007
38,kmeans,19854.600,0:00:20,0.0007,0.0700,0.0007
40,kmeans,18562.155,0:00:19,0.0007,0.0670,0.0006
