Treads,App,TimeCT,Energy,CO2eq,travelled
2,leukocyte,0:15:40,0.0143,1.4022,0.0130
4,leukocyte,0:08:20,0.0083,0.8156,0.0076
6,leukocyte,0:05:56,0.0062,0.6128,0.0057
8,leukocyte,0:05:09,0.0056,0.5475,0.0051
10,leukocyte,0:04:15,0.0048,0.4741,0.0044
12,leukocyte,0:03:18,0.0040,0.3928,0.0037
14,leukocyte,0:03:14,0.0039,0.3866,0.0036
16,leukocyte,0:03:09,0.0040,0.3891,0.0036
18,leukocyte,0:02:20,0.0033,0.3213,0.0030
20,leukocyte,0:02:17,0.0033,0.3212,0.0030
22,leukocyte,0:02:19,0.0035,0.3420,0.0032
24,leukocyte,0:02:19,0.0035,0.3464,0.0032
26,leukocyte,0:02:16,0.0035,0.3454,0.0032
28,leukocyte,0:02:14,0.0035,0.3457,0.0032
30,leukocyte,0:02:10,0.0035,0.3434,0.0032
32,leukocyte,0:02:07,0.0035,0.3423,0.0032
34,leukocyte,0:02:01,0.0034,0.3335,0.0031
36,leukocyte,0:01:16,0.0027,0.2691,0.0025
38,leukocyte,0:01:16,0.0028,0.2729,0.0025
40,leukocyte,0:01:16,0.0028,0.2737,0.0025
