Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,leukocyte,939231.632,0:15:39,0.0142,1.3974,0.0130
4,leukocyte,501083.527,0:08:21,0.0083,0.8139,0.0076
6,leukocyte,358125.959,0:05:58,0.0062,0.6129,0.0057
8,leukocyte,310229.572,0:05:10,0.0056,0.5496,0.0051
10,leukocyte,255502.681,0:04:16,0.0048,0.4725,0.0044
12,leukocyte,197976.972,0:03:18,0.0040,0.3923,0.0036
14,leukocyte,194652.610,0:03:15,0.0040,0.3941,0.0037
16,leukocyte,188416.166,0:03:08,0.0039,0.3846,0.0036
18,leukocyte,137905.899,0:02:18,0.0032,0.3164,0.0029
20,leukocyte,136160.556,0:02:16,0.0032,0.3193,0.0030
22,leukocyte,135740.968,0:02:16,0.0034,0.3304,0.0031
24,leukocyte,135831.639,0:02:16,0.0034,0.3355,0.0031
26,leukocyte,135730.116,0:02:16,0.0035,0.3442,0.0032
28,leukocyte,134504.363,0:02:15,0.0035,0.3469,0.0032
30,leukocyte,129870.822,0:02:10,0.0035,0.3443,0.0032
32,leukocyte,128177.746,0:02:08,0.0035,0.3473,0.0032
34,leukocyte,121638.015,0:02:02,0.0034,0.3363,0.0031
36,leukocyte,75654.202,0:01:16,0.0027,0.2680,0.0025
38,leukocyte,75516.235,0:01:16,0.0028,0.2710,0.0025
40,leukocyte,75621.642,0:01:16,0.0028,0.2737,0.0025
