Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,srad,201924.566,0:03:22,0.0030,1.4412,0.0134
4,srad,100798.090,0:01:41,0.0016,0.7738,0.0072
6,srad,71544.309,0:01:12,0.0012,0.5752,0.0054
8,srad,57101.755,0:00:57,0.0010,0.4804,0.0045
10,srad,46550.516,0:00:47,0.0009,0.4097,0.0038
12,srad,39506.119,0:00:40,0.0008,0.3669,0.0034
14,srad,35112.186,0:00:35,0.0007,0.3420,0.0032
16,srad,32204.175,0:00:32,0.0007,0.3250,0.0030
18,srad,29379.438,0:00:29,0.0006,0.3097,0.0029
20,srad,27136.399,0:00:27,0.0006,0.2982,0.0028
22,srad,23936.500,0:00:24,0.0007,0.3193,0.0030
24,srad,21836.557,0:00:22,0.0006,0.3033,0.0028
26,srad,20321.514,0:00:20,0.0006,0.2918,0.0027
28,srad,19192.094,0:00:19,0.0005,0.2560,0.0024
30,srad,18153.517,0:00:18,0.0006,0.2744,0.0026
32,srad,16395.886,0:00:16,0.0005,0.2568,0.0024
34,srad,16399.505,0:00:16,0.0005,0.2600,0.0024
36,srad,15615.544,0:00:16,0.0005,0.2563,0.0024
38,srad,14818.993,0:00:15,0.0005,0.2490,0.0023
40,srad,14055.423,0:00:14,0.0005,0.2419,0.0023
