Treads,App,Time,Energy,CO2eq,travelled
2,backprop,32.5316,0.0012,0.3763,0.0035
4,backprop,28.0086,0.001,0.3231,0.003
6,backprop,26.304,0.0009,0.3043,0.0028
8,backprop,24.4743,0.0008,0.2858,0.0027
10,backprop,25.206,0.0009,0.2968,0.0028
12,backprop,24.9998,0.0009,0.2931,0.0027
14,backprop,24.5145,0.0009,0.2896,0.0027
16,backprop,23.268,0.0008,0.2763,0.0026
18,backprop,22.8175,0.0008,0.2689,0.0025
20,backprop,22.973,0.0008,0.2702,0.0025
22,backprop,22.9188,0.0008,0.2697,0.0025
24,backprop,22.8693,0.0008,0.2693,0.0025
26,backprop,22.9244,0.0008,0.269,0.0025
28,backprop,22.9378,0.0008,0.2693,0.0025
30,backprop,22.8692,0.0008,0.2689,0.0025
32,backprop,22.8061,0.0008,0.2682,0.0025
34,backprop,22.8536,0.0008,0.269,0.0025
36,backprop,22.7757,0.0008,0.2679,0.0025
38,backprop,22.8392,0.0008,0.2685,0.0025
40,backprop,22.8922,0.0008,0.269,0.0025
42,backprop,22.8926,0.0008,0.2693,0.0025
44,backprop,22.7661,0.0008,0.2674,0.0025
46,backprop,22.8415,0.0008,0.2686,0.0025
48,backprop,22.8429,0.0008,0.2684,0.0025
