Treads,App,Time,Energy,CO2eq,travelled
2,cfd,118.4379,0.0041,1.353,0.0126
4,cfd,60.0175,0.0022,0.7212,0.0067
6,cfd,40.7257,0.0016,0.5123,0.0048
8,cfd,31.0024,0.0012,0.4041,0.0037
10,cfd,25.5401,0.0011,0.3494,0.0033
12,cfd,21.6269,0.0009,0.3039,0.0028
14,cfd,18.6519,0.0008,0.2715,0.0025
16,cfd,16.4171,0.0007,0.2467,0.0023
18,cfd,14.8222,0.0007,0.2248,0.0021
20,cfd,13.709,0.0007,0.2137,0.002
22,cfd,12.5537,0.0006,0.1985,0.0019
24,cfd,11.6442,0.0005,0.1795,0.0017
26,cfd,10.8976,0.0005,0.1692,0.0016
28,cfd,10.3446,0.0005,0.1722,0.0016
30,cfd,9.7472,0.0005,0.1667,0.0016
32,cfd,9.1747,0.0005,0.1547,0.0014
34,cfd,8.7896,0.0005,0.1538,0.0014
36,cfd,8.4474,0.0005,0.1543,0.0014
38,cfd,8.2303,0.0005,0.1539,0.0014
40,cfd,8.0898,0.0005,0.154,0.0014
42,cfd,7.6588,0.0004,0.148,0.0014
44,cfd,7.477,0.0004,0.1425,0.0013
46,cfd,7.2167,0.0004,0.1368,0.0013
48,cfd,7.0627,0.0004,0.1328,0.0012
