Treads,App,Time,Energy,CO2eq,travelled
2,leukocyte,617.6886,0.0218,6.3068,0.0587
4,leukocyte,326.2391,0.0122,3.5147,0.0327
6,leukocyte,221.2068,0.0087,2.5306,0.0235
8,leukocyte,188.0911,0.0077,2.2179,0.0206
10,leukocyte,151.1647,0.0065,1.8606,0.0173
12,leukocyte,116.9627,0.0053,1.5322,0.0143
14,leukocyte,115.6537,0.0053,1.7294,0.0161
16,leukocyte,114.4403,0.0052,1.7122,0.0159
18,leukocyte,81.082,0.004,1.3184,0.0123
20,leukocyte,81.3428,0.004,1.3138,0.0122
22,leukocyte,81.2615,0.004,1.2981,0.0121
24,leukocyte,81.5086,0.0039,1.2717,0.0118
26,leukocyte,80.9236,0.0039,1.284,0.012
28,leukocyte,80.5695,0.0039,1.2916,0.012
30,leukocyte,78.891,0.0039,1.2697,0.0118
32,leukocyte,78.8387,0.0039,1.2706,0.0118
34,leukocyte,76.4541,0.0038,1.2454,0.0116
36,leukocyte,46.686,0.0028,0.9032,0.0084
38,leukocyte,46.7142,0.0028,0.9067,0.0084
40,leukocyte,46.6933,0.0028,0.9078,0.0084
42,leukocyte,46.7121,0.0028,0.902,0.0084
44,leukocyte,46.6943,0.0028,0.9036,0.0084
46,leukocyte,46.7626,0.0028,0.9117,0.0085
48,leukocyte,46.6575,0.0028,0.9098,0.0084
