Treads,App,Time,Energy,CO2eq,travelled
2,srad,89.8243,0.0032,1.0413,0.0097
4,srad,46.4308,0.0017,0.5654,0.0053
6,srad,34.5063,0.0013,0.4404,0.0041
8,srad,28.7294,0.0012,0.3756,0.0035
10,srad,26.4867,0.0011,0.3607,0.0034
12,srad,26.3776,0.0011,0.3632,0.0034
14,srad,26.3155,0.0011,0.3691,0.0034
16,srad,26.4478,0.0011,0.3766,0.0035
18,srad,26.3996,0.0012,0.3818,0.0036
20,srad,26.3206,0.0012,0.3819,0.0036
22,srad,26.2716,0.0012,0.3866,0.0036
24,srad,26.2378,0.0012,0.3821,0.0036
26,srad,24.2413,0.0011,0.3604,0.0033
28,srad,22.9071,0.0011,0.3462,0.0032
30,srad,21.4755,0.001,0.3297,0.0031
32,srad,20.1104,0.001,0.3162,0.003
34,srad,18.8227,0.0009,0.303,0.0028
36,srad,17.8357,0.0009,0.2921,0.0027
38,srad,17.0485,0.0009,0.2868,0.0027
40,srad,16.2903,0.0009,0.2802,0.0026
42,srad,15.4699,0.0008,0.2695,0.0025
44,srad,14.6797,0.0008,0.264,0.0024
46,srad,14.0357,0.0008,0.2594,0.0024
48,srad,13.5649,0.0008,0.2474,0.0023
