Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,backprop,32070.347,0:00:32,0.0011,0.5442,0.0051
4,backprop,27305.418,0:00:27,0.0010,0.4628,0.0043
6,backprop,25578.400,0:00:26,0.0009,0.4337,0.0040
8,backprop,23804.513,0:00:24,0.0008,0.4065,0.0038
10,backprop,23920.068,0:00:24,0.0009,0.4101,0.0038
12,backprop,24700.355,0:00:25,0.0009,0.4295,0.0040
14,backprop,23908.708,0:00:24,0.0009,0.4171,0.0039
16,backprop,22741.871,0:00:23,0.0008,0.3965,0.0037
18,backprop,22745.717,0:00:23,0.0008,0.3976,0.0037
20,backprop,22652.452,0:00:23,0.0008,0.3927,0.0037
22,backprop,22888.132,0:00:23,0.0008,0.3965,0.0037
24,backprop,23181.192,0:00:23,0.0008,0.4002,0.0037
26,backprop,22885.359,0:00:23,0.0008,0.3954,0.0037
28,backprop,22917.536,0:00:23,0.0008,0.3955,0.0037
30,backprop,22837.895,0:00:23,0.0008,0.3928,0.0037
32,backprop,22516.050,0:00:23,0.0008,0.3888,0.0036
34,backprop,22979.432,0:00:23,0.0008,0.3965,0.0037
36,backprop,22881.401,0:00:23,0.0008,0.3943,0.0037
38,backprop,22694.945,0:00:23,0.0008,0.3910,0.0036
40,backprop,22692.392,0:00:23,0.0008,0.3907,0.0036
42,backprop,22825.915,0:00:23,0.0008,0.3946,0.0037
44,backprop,22935.901,0:00:23,0.0008,0.3935,0.0037
46,backprop,22622.640,0:00:23,0.0008,0.3899,0.0036
48,backprop,22938.844,0:00:23,0.0008,0.3946,0.0037
