Treads,App,TimeCT,Energy,CO2eq,travelled
2,backprop,0:00:00,0.0,0.0,0.0
4,backprop,0:00:00,0.0,0.0,0.0
6,backprop,0:00:00,0.0,0.0,0.0
8,backprop,0:00:00,0.0,0.0,0.0
10,backprop,0:00:00,0.0,0.0,0.0
12,backprop,0:00:00,0.0,0.0,0.0
14,backprop,0:00:00,0.0,0.0,0.0
16,backprop,0:00:00,0.0,0.0,0.0
18,backprop,0:00:00,0.0,0.0,0.0
20,backprop,0:00:00,0.0,0.0,0.0
22,backprop,0:00:00,0.0,0.0,0.0
24,backprop,0:00:00,0.0,0.0,0.0
26,backprop,0:00:00,0.0,0.0,0.0
28,backprop,0:00:00,0.0,0.0,0.0
30,backprop,0:00:00,0.0,0.0,0.0
32,backprop,0:00:00,0.0,0.0,0.0
34,backprop,0:00:00,0.0,0.0,0.0
36,backprop,0:00:00,0.0,0.0,0.0
38,backprop,0:00:00,0.0,0.0,0.0
40,backprop,0:00:00,0.0,0.0,0.0
42,backprop,0:00:00,0.0,0.0,0.0
44,backprop,0:00:00,0.0,0.0,0.0
46,backprop,0:00:00,0.0,0.0,0.0
48,backprop,0:00:00,0.0,0.0,0.0
