Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,cfd,118629.548,0:01:59,0.0041,1.9916,0.0185
4,cfd,60085.603,0:01:00,0.0022,1.0567,0.0098
6,cfd,40590.692,0:00:41,0.0016,0.7475,0.0070
8,cfd,30929.845,0:00:31,0.0012,0.5887,0.0055
10,cfd,25506.405,0:00:26,0.0011,0.5107,0.0048
12,cfd,21744.949,0:00:22,0.0009,0.4483,0.0042
14,cfd,18616.148,0:00:19,0.0008,0.3973,0.0037
16,cfd,16540.280,0:00:17,0.0008,0.3624,0.0034
18,cfd,14758.016,0:00:15,0.0007,0.3323,0.0031
20,cfd,13701.755,0:00:14,0.0006,0.3119,0.0029
22,cfd,12635.189,0:00:13,0.0006,0.2912,0.0027
24,cfd,11727.134,0:00:12,0.0006,0.2664,0.0025
26,cfd,10931.405,0:00:11,0.0005,0.2482,0.0023
28,cfd,10299.514,0:00:10,0.0005,0.2511,0.0023
30,cfd,9893.515,0:00:10,0.0005,0.2481,0.0023
32,cfd,9193.333,0:00:09,0.0005,0.2276,0.0021
34,cfd,8803.148,0:00:09,0.0005,0.2321,0.0022
36,cfd,8372.798,0:00:08,0.0005,0.2251,0.0021
38,cfd,8298.615,0:00:08,0.0005,0.2276,0.0021
40,cfd,8149.994,0:00:08,0.0005,0.2281,0.0021
42,cfd,7612.338,0:00:08,0.0004,0.2140,0.0020
44,cfd,7528.019,0:00:08,0.0004,0.2123,0.0020
46,cfd,7272.309,0:00:07,0.0004,0.2022,0.0019
48,cfd,7092.521,0:00:07,0.0004,0.1943,0.0018
