Treads,App,TimeCT,Energy,CO2eq,travelled
2,kmeans,0:04:10,0.0088,4.2158,0.0392
4,kmeans,0:02:05,0.0046,2.2341,0.0208
6,kmeans,0:01:24,0.0032,1.5616,0.0145
8,kmeans,0:01:03,0.0026,1.2360,0.0115
10,kmeans,0:00:51,0.0022,1.0485,0.0098
12,kmeans,0:00:43,0.0019,0.9172,0.0085
14,kmeans,0:00:37,0.0017,0.8135,0.0076
16,kmeans,0:00:33,0.0015,0.7381,0.0069
18,kmeans,0:00:29,0.0014,0.6872,0.0064
20,kmeans,0:00:27,0.0013,0.6448,0.0060
22,kmeans,0:00:25,0.0012,0.5784,0.0054
24,kmeans,0:00:23,0.0011,0.5241,0.0049
26,kmeans,0:00:21,0.0011,0.5145,0.0048
28,kmeans,0:00:20,0.0010,0.4898,0.0046
30,kmeans,0:00:19,0.0010,0.4787,0.0045
32,kmeans,0:00:17,0.0010,0.4595,0.0043
34,kmeans,0:00:17,0.0009,0.4517,0.0042
36,kmeans,0:00:16,0.0009,0.4330,0.0040
38,kmeans,0:00:15,0.0009,0.4251,0.0040
40,kmeans,0:00:14,0.0009,0.4110,0.0038
42,kmeans,0:00:14,0.0009,0.4094,0.0038
44,kmeans,0:00:13,0.0008,0.3898,0.0036
46,kmeans,0:00:12,0.0008,0.3814,0.0035
48,kmeans,0:00:12,0.0007,0.3606,0.0034
