Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,kmeans,250115.597,0:04:10,0.0088,0.8608,0.0080
4,kmeans,125365.279,0:02:05,0.0046,0.4552,0.0042
6,kmeans,83846.140,0:01:24,0.0033,0.3216,0.0030
8,kmeans,63059.793,0:01:03,0.0026,0.2523,0.0023
10,kmeans,51012.571,0:00:51,0.0022,0.2134,0.0020
12,kmeans,43382.728,0:00:43,0.0019,0.9244,0.0086
14,kmeans,37250.693,0:00:37,0.0017,0.8261,0.0077
16,kmeans,32671.632,0:00:33,0.0015,0.7054,0.0066
18,kmeans,29255.018,0:00:29,0.0014,0.6969,0.0065
20,kmeans,27006.763,0:00:27,0.0014,0.6508,0.0061
22,kmeans,24710.067,0:00:25,0.0012,0.5889,0.0055
24,kmeans,22908.631,0:00:23,0.0011,0.5254,0.0049
26,kmeans,21429.849,0:00:21,0.0011,0.5139,0.0048
28,kmeans,19769.683,0:00:20,0.0010,0.4903,0.0046
30,kmeans,18624.938,0:00:19,0.0010,0.4771,0.0044
32,kmeans,17373.650,0:00:17,0.0010,0.4609,0.0043
34,kmeans,16540.262,0:00:17,0.0009,0.4515,0.0042
36,kmeans,15500.159,0:00:16,0.0009,0.4333,0.0040
38,kmeans,14881.131,0:00:15,0.0009,0.4244,0.0039
40,kmeans,14005.862,0:00:14,0.0009,0.4121,0.0038
42,kmeans,13575.784,0:00:14,0.0009,0.4092,0.0038
44,kmeans,12814.326,0:00:13,0.0008,0.3893,0.0036
46,kmeans,12470.116,0:00:12,0.0008,0.3815,0.0035
48,kmeans,11802.666,0:00:12,0.0008,0.3615,0.0034
