Treads,App,TimeCT,Energy,CO2eq,travelled
2,leukocyte,0:10:18,0.0217,10.4412,0.0971
4,leukocyte,0:05:27,0.0121,5.8341,0.0543
6,leukocyte,0:03:40,0.0086,4.1168,0.0383
8,leukocyte,0:03:08,0.0076,3.6510,0.0340
10,leukocyte,0:02:31,0.0064,3.0750,0.0286
12,leukocyte,0:01:57,0.0053,2.5306,0.0235
14,leukocyte,0:01:55,0.0052,2.5004,0.0233
16,leukocyte,0:01:55,0.0052,2.5249,0.0235
18,leukocyte,0:01:21,0.0040,1.9270,0.0179
20,leukocyte,0:01:22,0.0041,1.9494,0.0181
22,leukocyte,0:01:21,0.0040,1.9224,0.0179
24,leukocyte,0:01:21,0.0039,1.8822,0.0175
26,leukocyte,0:01:21,0.0039,1.8952,0.0176
28,leukocyte,0:01:21,0.0039,1.8874,0.0176
30,leukocyte,0:01:19,0.0039,1.8618,0.0173
32,leukocyte,0:01:19,0.0039,1.8584,0.0173
34,leukocyte,0:01:17,0.0038,1.8223,0.0170
36,leukocyte,0:00:47,0.0028,1.3231,0.0123
38,leukocyte,0:00:47,0.0028,1.3276,0.0123
40,leukocyte,0:00:47,0.0028,1.3309,0.0124
42,leukocyte,0:00:47,0.0028,1.3397,0.0125
44,leukocyte,0:00:47,0.0028,1.3341,0.0124
46,leukocyte,0:00:47,0.0028,1.3349,0.0124
48,leukocyte,0:00:47,0.0028,1.3345,0.0124
