Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,leukocyte,617373.72,0:10:17,0.0217,10.4462,0.0972
4,leukocyte,326101.72,0:05:26,0.0121,5.8132,0.0541
6,leukocyte,220106.32,0:03:40,0.0086,4.1554,0.0387
8,leukocyte,188194.38,0:03:08,0.0076,3.6656,0.0341
10,leukocyte,151074.04,0:02:31,0.0064,3.0836,0.0287
12,leukocyte,116853.35,0:01:57,0.0052,2.4854,0.0231
14,leukocyte,115312.87,0:01:55,0.0053,2.5353,0.0236
16,leukocyte,114419.04,0:01:55,0.0053,2.5294,0.0235
18,leukocyte,81295.76,0:01:21,0.0041,1.9557,0.0182
20,leukocyte,81330.49,0:01:21,0.0041,1.9503,0.0181
22,leukocyte,81258.18,0:01:21,0.0040,1.9149,0.0178
24,leukocyte,81605.21,0:01:22,0.0039,1.8748,0.0174
26,leukocyte,80916.66,0:01:21,0.0039,1.8982,0.0177
28,leukocyte,80545.63,0:01:21,0.0039,1.8881,0.0176
30,leukocyte,78916.11,0:01:19,0.0039,1.8665,0.0174
32,leukocyte,78420.09,0:01:19,0.0039,1.8584,0.0173
34,leukocyte,76429.13,0:01:17,0.0038,1.8248,0.0170
36,leukocyte,46779.62,0:00:47,0.0028,1.3255,0.0123
38,leukocyte,46626.75,0:00:47,0.0028,1.3277,0.0124
40,leukocyte,46733.15,0:00:47,0.0028,1.3325,0.0124
42,leukocyte,46642.34,0:00:47,0.0026,1.2730,0.0118
44,leukocyte,46686.00,0:00:47,0.0028,1.3344,0.0124
46,leukocyte,46663.88,0:00:47,0.0028,1.3327,0.0124
48,leukocyte,46611.12,0:00:47,0.0028,1.3327,0.0124
