Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,srad,89824.957,0:01:30,0.0032,0.3123,0.0029
4,srad,46421.289,0:00:46,0.0017,0.1695,0.0016
6,srad,34512.018,0:00:35,0.0013,0.1321,0.0012
8,srad,28727.863,0:00:29,0.0012,0.1137,0.0011
10,srad,26455.982,0:00:26,0.0011,0.1078,0.0010
12,srad,26404.404,0:00:26,0.0011,0.1089,0.0010
14,srad,26344.475,0:00:26,0.0011,0.1108,0.0010
16,srad,26253.234,0:00:26,0.0011,0.1121,0.0010
18,srad,26328.478,0:00:26,0.0012,0.1140,0.0011
20,srad,26234.089,0:00:26,0.0012,0.1144,0.0011
22,srad,26223.642,0:00:26,0.0012,0.1162,0.0011
24,srad,26062.974,0:00:26,0.0012,0.1139,0.0011
26,srad,24394.879,0:00:24,0.0011,0.1089,0.0010
28,srad,22698.112,0:00:23,0.0010,0.1030,0.0010
30,srad,21481.839,0:00:21,0.0010,0.0992,0.0009
32,srad,19242.225,0:00:19,0.0009,0.0912,0.0008
34,srad,18952.910,0:00:19,0.0009,0.0911,0.0008
36,srad,17915.222,0:00:18,0.0009,0.0881,0.0008
38,srad,17009.673,0:00:17,0.0009,0.0859,0.0008
40,srad,16291.792,0:00:16,0.0009,0.0843,0.0008
42,srad,15019.574,0:00:15,0.0008,0.0805,0.0007
44,srad,14721.039,0:00:15,0.0008,0.0795,0.0007
46,srad,13835.624,0:00:14,0.0008,0.0765,0.0007
48,srad,13499.455,0:00:13,0.0007,0.0661,0.0006
