Treads,App,Time,Energy,CO2eq,travelled
2,backprop,16.2687,0.0004,0.0997,0.001
4,backprop,13.9413,0.0004,0.0903,0.0008
6,backprop,13.236,0.0003,0.0862,0.0008
8,backprop,12.8556,0.0003,0.0842,0.0008
10,backprop,12.7721,0.0003,0.0829,0.0008
12,backprop,12.7727,0.0003,0.082,0.0008
14,backprop,12.7972,0.0003,0.0826,0.0008
16,backprop,12.2943,0.0003,0.0849,0.0008
18,backprop,12.139,0.0003,0.0831,0.0008
20,backprop,12.2943,0.0003,0.0847,0.0008
22,backprop,12.2626,0.0003,0.084,0.0008
24,backprop,12.2011,0.0003,0.0846,0.0008
26,backprop,12.1924,0.0003,0.0844,0.0008
28,backprop,12.1923,0.0003,0.0844,0.0008
30,backprop,12.2215,0.0003,0.0846,0.0008
32,backprop,12.2719,0.0003,0.0853,0.0008
