Treads,App,Time,Energy,CO2eq,travelled
2,cfd,45.3566,0.0013,0.3173,0.003
4,cfd,23.2183,0.0009,0.2171,0.002
6,cfd,15.7624,0.0007,0.1855,0.0017
8,cfd,12.1017,0.0007,0.1677,0.0016
10,cfd,9.933,0.0006,0.1337,0.0013
12,cfd,8.3891,0.0006,0.1274,0.0012
14,cfd,7.2885,0.0006,0.1209,0.0011
16,cfd,6.5075,0.0006,0.1186,0.0011
18,cfd,6.7285,0.0006,0.1229,0.0011
20,cfd,6.2249,0.0006,0.1203,0.0011
22,cfd,5.7543,0.0006,0.1173,0.0011
24,cfd,5.3136,0.0005,0.111,0.001
26,cfd,5.0159,0.0005,0.1006,0.0009
28,cfd,4.7142,0.0005,0.105,0.001
30,cfd,4.4804,0.0005,0.1228,0.0011
32,cfd,4.2713,0.0005,0.1215,0.0011
