Treads,App,Time,Energy,CO2eq,travelled
2,kmeans,114.6417,0.0032,0.66,0.0061
4,kmeans,58.878,0.0021,0.4404,0.0041
6,kmeans,39.2465,0.0017,0.3672,0.0034
8,kmeans,29.5441,0.0015,0.3234,0.003
10,kmeans,24.0252,0.0014,0.3566,0.0033
12,kmeans,19.8461,0.0013,0.3388,0.0032
14,kmeans,17.1466,0.0013,0.3215,0.003
16,kmeans,15.0031,0.0012,0.3118,0.0029
18,kmeans,13.5078,0.0012,0.3058,0.0028
20,kmeans,12.1555,0.0012,0.2924,0.0027
22,kmeans,11.027,0.0011,0.2841,0.0026
24,kmeans,10.131,0.0011,0.2724,0.0025
26,kmeans,9.3665,0.0011,0.2682,0.0025
28,kmeans,8.7712,0.001,0.2581,0.0024
30,kmeans,8.2357,0.001,0.2562,0.0024
32,kmeans,7.7543,0.001,0.2528,0.0023
