Treads,App,Time,Energy,CO2eq,travelled
2,leukocyte,292.4683,0.0085,2.1474,0.02
4,leukocyte,154.8601,0.006,1.514,0.0141
6,leukocyte,104.6781,0.0051,1.2919,0.012
8,leukocyte,89.8615,0.0048,1.2203,0.0113
10,leukocyte,71.4679,0.0045,1.1368,0.0106
12,leukocyte,55.0211,0.0042,1.0598,0.0099
14,leukocyte,54.4595,0.0042,1.0552,0.0098
16,leukocyte,53.9128,0.0042,1.0482,0.0097
18,leukocyte,40.0655,0.0039,0.9744,0.009
20,leukocyte,37.8865,0.0038,0.9586,0.0089
22,leukocyte,37.8175,0.0038,0.9488,0.0088
24,leukocyte,37.8882,0.0037,0.9371,0.0087
26,leukocyte,37.9417,0.0037,0.9303,0.0087
28,leukocyte,37.9404,0.0037,0.9189,0.0085
30,leukocyte,37.2405,0.0036,0.9039,0.0084
32,leukocyte,36.7037,0.0035,0.8821,0.0082
