Treads,App,Time,Energy,CO2eq,travelled
2,srad,41.1141,0.0011,0.2821,0.0026
4,srad,19.7697,0.0007,0.1785,0.0017
6,srad,14.2064,0.0006,0.1573,0.0015
8,srad,11.5811,0.0006,0.1472,0.0013
10,srad,9.8446,0.0006,0.1405,0.0013
12,srad,8.8588,0.0005,0.136,0.0013
14,srad,8.4845,0.0006,0.1436,0.0013
16,srad,8.3876,0.0006,0.1503,0.0014
18,srad,8.6527,0.0006,0.16,0.0015
20,srad,10.6749,0.0008,0.1895,0.0018
22,srad,10.349,0.0008,0.1906,0.0018
24,srad,9.8106,0.0007,0.188,0.0018
26,srad,9.6256,0.0008,0.1919,0.0018
28,srad,9.3664,0.0008,0.1923,0.0018
30,srad,9.3004,0.0008,0.1979,0.0018
32,srad,9.2843,0.0008,0.2022,0.0019
