Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,backprop,16230.268,0:00:16,0.0004,0.0391,0.0004
4,backprop,14020.556,0:00:14,0.0004,0.0357,0.0003
6,backprop,13229.025,0:00:13,0.0003,0.0336,0.0003
8,backprop,12672.450,0:00:13,0.0003,0.0317,0.0003
10,backprop,12650.087,0:00:13,0.0003,0.0318,0.0003
12,backprop,12730.768,0:00:13,0.0003,0.0323,0.0003
14,backprop,12686.811,0:00:13,0.0003,0.0321,0.0003
16,backprop,12116.390,0:00:12,0.0003,0.0328,0.0003
18,backprop,12124.609,0:00:12,0.0003,0.0326,0.0003
20,backprop,12407.554,0:00:12,0.0003,0.0333,0.0003
22,backprop,12183.602,0:00:12,0.0003,0.0330,0.0003
24,backprop,12125.372,0:00:12,0.0003,0.0329,0.0003
26,backprop,12116.928,0:00:12,0.0003,0.0331,0.0003
28,backprop,12203.440,0:00:12,0.0003,0.0332,0.0003
30,backprop,12376.436,0:00:12,0.0003,0.0334,0.0003
32,backprop,12194.991,0:00:12,0.0003,0.0334,0.0003
