Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,cfd,45381.262,0:00:45,0.0013,0.1248,0.0012
4,cfd,23252.302,0:00:23,0.0009,0.0851,0.0008
6,cfd,15794.969,0:00:16,0.0007,0.0727,0.0007
8,cfd,12090.600,0:00:12,0.0007,0.0655,0.0006
10,cfd,9931.542,0:00:10,0.0006,0.0614,0.0006
12,cfd,8387.218,0:00:08,0.0006,0.0585,0.0005
14,cfd,7295.738,0:00:07,0.0006,0.0558,0.0005
16,cfd,6514.134,0:00:07,0.0006,0.0548,0.0005
18,cfd,6722.674,0:00:07,0.0006,0.0566,0.0005
20,cfd,6220.471,0:00:06,0.0006,0.0553,0.0005
22,cfd,5766.568,0:00:06,0.0006,0.0543,0.0005
24,cfd,5319.826,0:00:05,0.0005,0.0514,0.0005
26,cfd,5013.307,0:00:05,0.0005,0.0463,0.0004
28,cfd,4717.932,0:00:05,0.0005,0.0486,0.0005
30,cfd,4480.043,0:00:04,0.0005,0.0483,0.0004
32,cfd,4270.700,0:00:04,0.0005,0.0475,0.0004
