Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,kmeans,113933.491,0:01:54,0.0032,0.3112,0.0029
4,kmeans,59510.934,0:01:00,0.0021,0.2079,0.0019
6,kmeans,36646.200,0:00:37,0.0016,0.1602,0.0015
8,kmeans,30118.795,0:00:30,0.0016,0.1537,0.0014
10,kmeans,23856.613,0:00:24,0.0014,0.1383,0.0013
12,kmeans,19984.770,0:00:20,0.0013,0.1325,0.0012
14,kmeans,17326.625,0:00:17,0.0013,0.1283,0.0012
16,kmeans,14208.697,0:00:14,0.0012,0.1175,0.0011
18,kmeans,13580.867,0:00:14,0.0012,0.1198,0.0011
20,kmeans,12205.494,0:00:12,0.0012,0.1136,0.0011
22,kmeans,10492.268,0:00:10,0.0011,0.1059,0.0010
24,kmeans,9846.263,0:00:10,0.0010,0.1031,0.0010
26,kmeans,9285.303,0:00:09,0.0010,0.1032,0.0010
28,kmeans,8741.028,0:00:09,0.0010,0.1000,0.0009
30,kmeans,8041.643,0:00:08,0.0010,0.0987,0.0009
32,kmeans,7820.104,0:00:08,0.0010,0.0985,0.0009
