Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,leukocyte,292219.452,0:04:52,0.0084,0.8307,0.0077
4,leukocyte,154566.086,0:02:35,0.0060,0.5880,0.0055
6,leukocyte,104764.165,0:01:45,0.0051,0.5025,0.0047
8,leukocyte,89881.315,0:01:30,0.0048,0.4758,0.0044
10,leukocyte,71582.178,0:01:12,0.0045,0.4428,0.0041
12,leukocyte,55038.735,0:00:55,0.0042,0.4124,0.0038
14,leukocyte,54423.731,0:00:54,0.0042,0.4134,0.0038
16,leukocyte,53983.208,0:00:54,0.0042,0.4103,0.0038
18,leukocyte,40076.529,0:00:40,0.0039,0.3804,0.0035
20,leukocyte,37933.534,0:00:38,0.0038,0.3747,0.0035
22,leukocyte,37786.591,0:00:38,0.0038,0.3715,0.0035
24,leukocyte,37917.946,0:00:38,0.0037,0.3682,0.0034
26,leukocyte,37938.317,0:00:38,0.0037,0.3638,0.0034
28,leukocyte,37803.952,0:00:38,0.0037,0.3594,0.0033
30,leukocyte,37273.280,0:00:37,0.0036,0.3569,0.0033
32,leukocyte,36729.765,0:00:37,0.0035,0.3467,0.0032
