Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,srad,41129.292,0:00:41,0.0011,0.1106,0.0010
4,srad,19713.780,0:00:20,0.0007,0.0698,0.0006
6,srad,14191.856,0:00:14,0.0006,0.0616,0.0006
8,srad,11564.395,0:00:12,0.0006,0.0576,0.0005
10,srad,9842.248,0:00:10,0.0006,0.0550,0.0005
12,srad,8860.199,0:00:09,0.0005,0.0533,0.0005
14,srad,8482.148,0:00:08,0.0006,0.0563,0.0005
16,srad,8416.120,0:00:08,0.0006,0.0590,0.0005
18,srad,8621.540,0:00:09,0.0006,0.0625,0.0006
20,srad,10712.546,0:00:11,0.0008,0.0746,0.0007
22,srad,10393.943,0:00:10,0.0008,0.0751,0.0007
24,srad,9808.478,0:00:10,0.0007,0.0737,0.0007
26,srad,9630.622,0:00:10,0.0008,0.0754,0.0007
28,srad,9371.864,0:00:09,0.0008,0.0755,0.0007
30,srad,9327.576,0:00:09,0.0008,0.0777,0.0007
32,srad,9293.853,0:00:09,0.0008,0.0795,0.0007
