Treads,time_seconds,Time,Energy,CO2eq,travelled
2,47.297726,0:00:47,0.0019,0.2686,0.0025
4,35.649456,0:00:36,0.0014,0.1981,0.0018
6,33.114769,0:00:33,0.0013,0.1781,0.0017
8,31.703855,0:00:32,0.0013,0.1813,0.0017
10,31.642785,0:00:32,0.0012,0.1745,0.0016
12,32.147407,0:00:32,0.0013,0.1842,0.0017
14,30.860293,0:00:31,0.0013,0.1820,0.0017
16,NaN,NaN,NaN,NaN,NaN
2,NaN,NaN,NaN,NaN,NaN
2,NaN,NaN,NaN,NaN,NaN
2,47.220391,0:00:47,0.0019,0.2696,0.0025
4,35.397591,0:00:35,0.0014,0.2008,0.0019
6,32.688070,0:00:33,0.0012,0.1751,0.0016
8,30.824629,0:00:31,0.0013,0.1848,0.0017
10,31.103591,0:00:31,0.0013,0.1802,0.0017
12,30.870436,0:00:31,0.0012,0.1749,0.0016
14,30.418626,0:00:30,0.0014,0.1938,0.0018
16,30.873636,0:00:31,0.0014,0.1961,0.0018
18,30.738187,0:00:31,0.0013,0.1840,0.0017
20,32.251804,0:00:32,0.0014,0.1927,0.0018
22,30.120997,0:00:30,0.0013,0.1848,0.0017
24,30.869344,0:00:31,0.0013,0.1913,0.0018
26,31.175951,0:00:31,0.0014,0.1924,0.0018
28,30.870331,0:00:31,0.0013,0.1905,0.0018
30,31.137805,0:00:31,0.0014,0.1957,0.0018
32,32.360690,0:00:32,0.0014,0.2035,0.0019
34,32.280806,0:00:33,0.0014,0.2005,0.0019
36,33.526522,0:00:34,0.0015,0.2082,0.0019
38,33.418720,0:00:33,0.0015,0.2080,0.0019
40,33.130835,0:00:33,0.0015,0.2064,0.0019
42,34.021258,0:00:34,0.0015,0.2150,0.0020
44,33.436761,0:00:33,0.0015,0.2132,0.0020
46,33.992334,0:00:34,0.0016,0.2199,0.0020
48,34.357329,0:00:34,0.0017,0.2437,0.0023
50,33.554759,0:00:34,0.0018,0.2504,0.0023
52,34.297717,0:00:34,0.0019,0.2692,0.0025
54,34.731695,0:00:35,0.0021,0.2976,0.0028
56,34.377099,0:00:34,0.0021,0.2977,0.0028
58,35.626073,0:00:36,0.0021,0.2939,0.0027
60,35.177367,0:00:35,0.0022,0.3174,0.0030
62,35.829336,0:00:36,0.0022,0.3049,0.0028
64,33.971582,0:00:34,0.0020,0.2865,0.0027
66,36.403145,0:00:36,0.0023,0.3236,0.0030
68,35.070305,0:00:35,0.0023,0.3246,0.0030
70,35.633259,0:00:36,0.0022,0.3066,0.0029
72,36.123976,0:00:36,0.0022,0.3098,0.0029
74,36.581711,0:00:37,0.0023,0.3320,0.0031
76,35.994098,0:00:36,0.0020,0.2882,0.0027
78,35.299914,0:00:35,0.0021,0.2935,0.0027
80,36.033546,0:00:36,0.0020,0.2895,0.0027
82,36.228509,0:00:36,0.0021,0.3022,0.0028
84,36.987381,0:00:37,0.0023,0.3198,0.0030
86,36.976360,0:00:37,0.0024,0.3387,0.0032
88,35.898832,0:00:36,0.0021,0.2955,0.0027
