Treads,time_seconds,Time,Energy,CO2eq,travelled
2,38.28333,0:00:38,0.0016,0.2217,0.0021
4,21.35440,0:00:21,0.0009,0.1296,0.0012
6,15.90595,0:00:16,0.0007,0.1027,0.0010
8,13.44550,0:00:13,0.0006,0.0915,0.0009
10,12.07279,0:00:12,0.0006,0.0843,0.0008
12,10.90854,0:00:11,0.0004,0.0571,0.0005
14,10.51610,0:00:11,0.0004,0.0545,0.0005
16,10.66508,0:00:11,0.0004,0.0560,0.0005
18,11.05532,0:00:11,0.0004,0.0579,0.0005
20,10.69077,0:00:11,0.0004,0.0562,0.0005
22,10.81764,0:00:11,0.0004,0.0571,0.0005
24,10.80877,0:00:11,0.0004,0.0568,0.0005
26,11.12842,0:00:11,0.0004,0.0585,0.0005
28,10.66853,0:00:11,0.0004,0.0554,0.0005
30,11.06457,0:00:11,0.0004,0.0581,0.0005
32,11.07477,0:00:11,0.0004,0.0584,0.0005
34,11.86284,0:00:12,0.0007,0.0951,0.0009
36,12.25550,0:00:12,0.0007,0.1055,0.0010
38,12.25360,0:00:12,0.0008,0.1077,0.0010
40,12.07230,0:00:12,0.0008,0.1103,0.0010
42,12.21055,0:00:12,0.0008,0.1071,0.0010
44,12.28700,0:00:12,0.0008,0.1115,0.0010
46,12.08598,0:00:12,0.0008,0.1105,0.0010
48,11.88410,0:00:12,0.0007,0.1028,0.0010
50,11.96740,0:00:12,0.0008,0.1068,0.0010
52,11.33095,0:00:11,0.0004,0.0596,0.0006
54,11.77642,0:00:12,0.0004,0.0616,0.0006
56,11.38189,0:00:11,0.0004,0.0601,0.0006
58,11.47626,0:00:11,0.0004,0.0611,0.0006
60,11.05011,0:00:11,0.0004,0.0587,0.0005
62,10.80193,0:00:11,0.0004,0.0575,0.0005
64,11.77236,0:00:12,0.0004,0.0625,0.0006
66,11.50907,0:00:12,0.0004,0.0616,0.0006
68,12.15952,0:00:12,0.0008,0.1143,0.0011
70,12.46026,0:00:12,0.0008,0.1186,0.0011
72,11.79949,0:00:12,0.0004,0.0628,0.0006
74,11.67917,0:00:12,0.0004,0.0623,0.0006
76,11.13945,0:00:11,0.0004,0.0594,0.0006
78,11.88294,0:00:12,0.0008,0.1084,0.0010
80,10.71058,0:00:11,0.0004,0.0570,0.0005
82,10.63771,0:00:11,0.0004,0.0567,0.0005
84,11.11171,0:00:11,0.0004,0.0593,0.0006
86,12.59651,0:00:13,0.0009,0.1236,0.0012
88,12.00137,0:00:12,0.0008,0.1184,0.0011
