Treads,time_seconds,Time,Energy,CO2eq,travelled
2,89.93,0:01:38,0.0040,1.9169,0.0178
4,48.57,0:00:53,0.0024,1.1503,0.0107
6,35.15,0:00:38,0.0019,0.8972,0.0083
8,28.28,0:00:31,0.0016,0.7487,0.0070
10,23.92,0:00:26,0.0014,0.6675,0.0062
12,20.65,0:00:22,0.0013,0.5993,0.0056
14,18.56,0:00:20,0.0012,0.5791,0.0054
16,16.81,0:00:18,0.0012,0.5609,0.0052
18,15.85,0:00:17,0.0012,0.5555,0.0052
20,14.90,0:00:16,0.0012,0.5519,0.0051
22,14.69,0:00:16,0.0012,0.5511,0.0051
24,13.56,0:00:15,0.0012,0.5572,0.0052
26,12.53,0:00:14,0.0011,0.5244,0.0049
28,11.64,0:00:13,0.0011,0.5127,0.0048
30,10.88,0:00:12,0.0010,0.4658,0.0043
32,10.17,0:00:11,0.0009,0.4462,0.0042
34,9.69,0:00:11,0.0009,0.4331,0.0040
36,9.21,0:00:10,0.0009,0.4223,0.0039
38,8.80,0:00:10,0.0009,0.4163,0.0039
40,8.31,0:00:09,0.0009,0.4217,0.0039
42,7.95,0:00:09,0.0009,0.4150,0.0039
44,7.68,0:00:08,0.0009,0.4156,0.0039
46,10.32,0:00:11,0.0010,0.4761,0.0044
48,10.00,0:00:11,0.0010,0.4711,0.0044
50,10.15,0:00:11,0.0010,0.4738,0.0044
52,9.89,0:00:11,0.0010,0.4849,0.0045
54,9.93,0:00:11,0.0010,0.4783,0.0044
56,10.11,0:00:11,0.0010,0.4773,0.0044
58,9.82,0:00:11,0.0010,0.4864,0.0045
60,9.83,0:00:11,0.0010,0.4734,0.0044
62,10.10,0:00:11,0.0010,0.4903,0.0046
64,10.21,0:00:11,0.0011,0.5076,0.0047
66,10.40,0:00:11,0.0011,0.5177,0.0048
68,10.05,0:00:11,0.0011,0.5060,0.0047
70,10.08,0:00:11,0.0011,0.5055,0.0047
72,9.75,0:00:11,0.0010,0.4916,0.0046
74,9.46,0:00:10,0.0010,0.4977,0.0046
76,9.15,0:00:10,0.0010,0.4893,0.0046
78,8.76,0:00:09,0.0010,0.4720,0.0044
80,8.77,0:00:09,0.0010,0.4734,0.0044
82,8.76,0:00:09,0.0010,0.4733,0.0044
84,8.48,0:00:09,0.0010,0.4647,0.0043
86,8.17,0:00:09,0.0010,0.4778,0.0044
88,8.17,0:00:09,0.0010,0.4781,0.0044
