Treads,time_seconds,Time,Energy,CO2eq,travelled
2,245.87,0:04:07,0.0100,4.7279,0.0440
4,142.62,0:02:23,0.0063,3.0110,0.0280
6,108.94,0:01:50,0.0052,2.4564,0.0229
8,91.84,0:01:32,0.0046,2.1732,0.0202
10,81.84,0:01:22,0.0043,2.0279,0.0189
12,73.90,0:01:14,0.0041,1.9363,0.0180
14,68.19,0:01:09,0.0040,1.8838,0.0175
16,64.02,0:01:04,0.0039,1.8536,0.0172
18,60.14,0:01:01,0.0038,1.8224,0.0170
20,58.32,0:00:59,0.0039,1.8382,0.0171
22,56.36,0:00:57,0.0039,1.8432,0.0171
24,49.63,0:00:50,0.0037,1.7559,0.0163
26,44.96,0:00:45,0.0035,1.6564,0.0154
28,40.29,0:00:41,0.0033,1.5501,0.0144
30,38.65,0:00:39,0.0032,1.5222,0.0142
32,35.37,0:00:36,0.0030,1.4340,0.0133
34,32.69,0:00:33,0.0029,1.3730,0.0128
36,31.70,0:00:32,0.0029,1.3686,0.0127
38,29.82,0:00:30,0.0028,1.3303,0.0124
40,28.24,0:00:28,0.0027,1.3009,0.0121
42,26.96,0:00:27,0.0027,1.2839,0.0119
44,26.40,0:00:27,0.0027,1.2943,0.0120
46,33.29,0:00:34,0.0032,1.5375,0.0143
48,32.67,0:00:33,0.0032,1.5232,0.0142
50,32.42,0:00:33,0.0032,1.5085,0.0140
52,31.83,0:00:32,0.0032,1.4999,0.0140
54,32.11,0:00:32,0.0032,1.5137,0.0141
56,32.06,0:00:32,0.0032,1.5181,0.0141
58,31.24,0:00:31,0.0031,1.4946,0.0139
60,31.45,0:00:32,0.0032,1.5123,0.0141
62,31.31,0:00:32,0.0032,1.5084,0.0140
64,31.28,0:00:32,0.0032,1.5173,0.0141
66,31.91,0:00:32,0.0033,1.5456,0.0144
68,30.11,0:00:30,0.0031,1.4786,0.0138
70,29.77,0:00:30,0.0031,1.4715,0.0137
72,28.33,0:00:29,0.0030,1.4174,0.0132
74,27.81,0:00:28,0.0029,1.4008,0.0130
76,28.94,0:00:29,0.0031,1.4504,0.0135
78,27.39,0:00:28,0.0029,1.3901,0.0129
80,27.17,0:00:27,0.0029,1.3862,0.0129
82,26.78,0:00:27,0.0029,1.3722,0.0128
84,26.15,0:00:26,0.0028,1.3474,0.0125
86,25.41,0:00:26,0.0028,1.3209,0.0123
88,25.31,0:00:26,0.0028,1.3115,0.0122
