Treads,time_seconds,Time,Energy,CO2eq,travelled
2,3.24561,0:00:03,0.0001,0.0671,0.0006
4,1.74889,0:00:02,0.0001,0.0406,0.0004
6,1.26971,0:00:01,0.0001,0.0319,0.0003
8,1.01024,0:00:01,0.0001,0.0267,0.0002
10,0.86983,0:00:01,0.0000,0.0215,0.0002
12,0.72451,0:00:01,0.0000,0.0000,0.0000
14,0.63740,0:00:01,0.0000,0.0000,0.0000
16,0.55290,0:00:01,0.0000,0.0000,0.0000
18,0.51860,0:00:01,0.0000,0.0000,0.0000
20,0.52145,0:00:01,0.0000,0.0000,0.0000
22,0.51495,0:00:01,0.0000,0.0000,0.0000
24,0.62739,0:00:01,0.0000,0.0000,0.0000
26,0.59055,0:00:01,0.0000,0.0000,0.0000
28,0.55272,0:00:01,0.0000,0.0000,0.0000
30,0.54435,0:00:01,0.0000,0.0000,0.0000
32,0.47770,0:00:00,0.0000,0.0000,0.0000
34,0.46605,0:00:00,0.0000,0.0000,0.0000
36,0.44217,0:00:00,0.0000,0.0000,0.0000
38,0.44923,0:00:00,0.0000,0.0000,0.0000
40,0.47819,0:00:00,0.0000,0.0000,0.0000
42,0.40604,0:00:00,0.0000,0.0000,0.0000
44,0.44193,0:00:00,0.0000,0.0000,0.0000
46,0.41214,0:00:00,0.0000,0.0000,0.0000
48,0.42448,0:00:00,0.0000,0.0000,0.0000
50,0.38568,0:00:00,0.0000,0.0000,0.0000
52,0.36876,0:00:00,0.0000,0.0000,0.0000
54,0.39295,0:00:00,0.0000,0.0000,0.0000
56,0.41103,0:00:00,0.0000,0.0000,0.0000
58,0.41638,0:00:00,0.0000,0.0000,0.0000
60,0.37177,0:00:00,0.0000,0.0000,0.0000
62,0.43873,0:00:00,0.0000,0.0000,0.0000
64,0.40182,0:00:00,0.0000,0.0000,0.0000
66,0.41753,0:00:00,0.0000,0.0000,0.0000
68,0.37473,0:00:00,0.0000,0.0000,0.0000
70,0.39650,0:00:00,0.0000,0.0000,0.0000
72,0.40459,0:00:00,0.0000,0.0000,0.0000
74,0.57427,0:00:01,0.0000,0.0000,0.0000
76,0.41377,0:00:00,0.0000,0.0000,0.0000
78,0.44662,0:00:00,0.0000,0.0000,0.0000
80,0.44880,0:00:00,0.0000,0.0000,0.0000
82,0.69363,0:00:01,0.0000,0.0000,0.0000
84,0.75474,0:00:01,0.0000,0.0000,0.0000
86,0.42444,0:00:00,0.0000,0.0000,0.0000
88,0.42836,0:00:00,0.0000,0.0000,0.0000
