Treads,time_seconds,Time,Energy,CO2eq,travelled
2,44.43349,0:00:44,0.0033,0.4673,0.0043
4,31.72276,0:00:32,0.0024,0.3400,0.0032
6,25.82042,0:00:26,0.0021,0.2914,0.0027
8,25.86445,0:00:26,0.0021,0.3045,0.0028
10,24.80398,0:00:25,0.0021,0.3001,0.0028
12,25.43146,0:00:25,0.0022,0.3146,0.0029
14,25.27459,0:00:25,0.0023,0.3201,0.0030
16,25.88143,0:00:26,0.0023,0.3277,0.0030
18,26.25455,0:00:26,0.0024,0.3388,0.0032
20,26.06522,0:00:26,0.0024,0.3419,0.0032
22,24.21842,0:00:24,0.0023,0.3213,0.0030
24,26.64752,0:00:27,0.0025,0.3539,0.0033
26,26.66097,0:00:27,0.0025,0.3536,0.0033
28,25.99963,0:00:26,0.0024,0.3439,0.0032
30,26.14774,0:00:26,0.0024,0.3459,0.0032
32,27.14384,0:00:27,0.0025,0.3579,0.0033
34,26.40894,0:00:26,0.0025,0.3497,0.0033
36,26.52182,0:00:27,0.0025,0.3525,0.0033
38,27.35798,0:00:27,0.0025,0.3601,0.0034
40,26.99039,0:00:27,0.0025,0.3584,0.0033
42,27.37426,0:00:27,0.0026,0.3627,0.0034
44,27.00986,0:00:27,0.0025,0.3606,0.0034
46,27.62102,0:00:28,0.0026,0.3685,0.0034
48,27.98650,0:00:28,0.0026,0.3744,0.0035
