Treads,time_seconds,Time,Energy,CO2eq,travelled
2,57.00,0:01:03,0.0047,0.6639,0.0062
4,43.62,0:00:47,0.0037,0.5298,0.0049
6,42.02,0:00:45,0.0037,0.5255,0.0049
8,41.78,0:00:44,0.0038,0.5345,0.0050
10,42.22,0:00:44,0.0039,0.5581,0.0052
12,42.58,0:00:45,0.0040,0.5682,0.0053
14,37.04,0:00:39,0.0036,0.5163,0.0048
16,32.39,0:00:34,0.0033,0.4653,0.0043
18,29.80,0:00:31,0.0032,0.4482,0.0042
20,26.97,0:00:28,0.0030,0.4241,0.0039
22,23.79,0:00:25,0.0018,0.2613,0.0024
24,21.95,0:00:23,0.0026,0.3755,0.0035
26,24.17,0:00:26,0.0028,0.4013,0.0037
28,25.30,0:00:27,0.0030,0.4202,0.0039
30,26.97,0:00:28,0.0031,0.4414,0.0041
32,27.46,0:00:29,0.0032,0.4479,0.0042
34,28.61,0:00:30,0.0033,0.4629,0.0043
36,29.96,0:00:31,0.0034,0.4768,0.0044
38,28.20,0:00:30,0.0032,0.4586,0.0043
40,27.05,0:00:28,0.0031,0.4461,0.0042
42,25.30,0:00:27,0.0030,0.4260,0.0040
44,24.55,0:00:26,0.0029,0.4171,0.0039
46,23.77,0:00:25,0.0029,0.4072,0.0038
48,22.58,0:00:24,0.0027,0.3889,0.0036
