Treads,time_seconds,Time,Energy,CO2eq,travelled
2,4.49778,0:00:05,0.0003,0.1610,0.0015
4,1.66257,0:00:02,0.0001,0.0657,0.0006
6,0.96010,0:00:01,0.0001,0.0418,0.0004
8,1.05263,0:00:01,0.0001,0.0478,0.0004
10,0.65210,0:00:01,0.0000,0.0000,0.0000
12,0.64221,0:00:01,0.0001,0.0272,0.0003
14,0.54422,0:00:01,0.0000,0.0000,0.0000
16,0.34753,0:00:00,0.0000,0.0000,0.0000
18,0.17976,0:00:00,0.0000,0.0000,0.0000
20,0.15379,0:00:00,0.0000,0.0000,0.0000
22,0.14655,0:00:00,0.0000,0.0000,0.0000
24,0.13862,0:00:00,0.0000,0.0000,0.0000
26,0.33893,0:00:00,0.0000,0.0000,0.0000
28,0.30760,0:00:00,0.0000,0.0000,0.0000
30,0.26858,0:00:00,0.0000,0.0000,0.0000
32,0.25194,0:00:00,0.0000,0.0000,0.0000
34,0.21123,0:00:00,0.0000,0.0000,0.0000
36,0.18504,0:00:00,0.0000,0.0000,0.0000
38,0.17891,0:00:00,0.0000,0.0000,0.0000
40,0.15991,0:00:00,0.0000,0.0000,0.0000
42,0.16266,0:00:00,0.0000,0.0000,0.0000
44,0.15663,0:00:00,0.0000,0.0000,0.0000
46,0.15687,0:00:00,0.0000,0.0000,0.0000
48,0.15192,0:00:00,0.0000,0.0000,0.0000
