Treads,time_seconds,Time,Energy,CO2eq,travelled
1,134.51451,0:02:15,0.0036,0.5064,0.0047
2,70.42750,0:01:10,0.0020,0.2809,0.0026
3,49.51058,0:00:50,0.0014,0.2054,0.0019
4,39.81666,0:00:40,0.0012,0.1739,0.0016
5,35.36593,0:00:35,0.0011,0.1589,0.0015
6,32.69093,0:00:33,0.0011,0.1500,0.0014
7,31.92920,0:00:32,0.0011,0.1505,0.0014
8,32.00012,0:00:32,0.0011,0.1532,0.0014
9,43.03882,0:00:43,0.0014,0.1935,0.0018
10,39.91749,0:00:40,0.0013,0.1823,0.0017
11,37.36815,0:00:37,0.0012,0.1733,0.0016
12,35.02631,0:00:35,0.0012,0.1651,0.0015
13,33.76125,0:00:34,0.0011,0.1593,0.0015
14,33.20753,0:00:33,0.0011,0.1574,0.0015
15,33.28661,0:00:33,0.0011,0.1599,0.0015
16,33.34466,0:00:33,0.0011,0.1611,0.0015
