Treads,time_seconds,Time,Energy,CO2eq,travelled
1,245.29,0:04:05,0.0063,0.8974,0.0083
2,145.10,0:02:25,0.0039,0.5517,0.0051
3,98.74,0:01:39,0.0028,0.3915,0.0036
4,80.44,0:01:20,0.0023,0.3288,0.0031
5,69.40,0:01:09,0.0021,0.2918,0.0027
6,60.43,0:01:00,0.0018,0.2622,0.0024
7,53.64,0:00:54,0.0017,0.2401,0.0022
8,50.89,0:00:51,0.0016,0.2279,0.0021
9,69.81,0:01:10,0.0022,0.3067,0.0029
10,68.14,0:01:08,0.0021,0.3020,0.0028
11,63.82,0:01:04,0.0020,0.2858,0.0027
12,61.43,0:01:01,0.0020,0.2788,0.0026
13,59.74,0:01:00,0.0019,0.2739,0.0025
14,58.91,0:00:59,0.0019,0.2724,0.0025
15,57.41,0:00:57,0.0019,0.2685,0.0025
16,57.76,0:00:58,0.0019,0.2720,0.0025
