 Treads  Execution Time    Time  Energy  CO2eq  km travelled by car
      2       47,662981 0:00:48  0,0020 0,9319               0,0087
      4       35,642458 0:00:36  0,0014 0,6572               0,0061
      6       33,554696 0:00:34  0,0013 0,5978               0,0056
      8       32,453844 0:00:32  0,0013 0,5944               0,0055
     10       31,275694 0:00:31  0,0013 0,5948               0,0055
     12       30,517199 0:00:31  0,0013 0,6358               0,0059
     14       31,203986 0:00:31  0,0013 0,6021               0,0056
     16       30,123813 0:00:30  0,0013 0,6249               0,0058
     18       31,631694 0:00:32  0,0013 0,6196               0,0058
     20       30,840677 0:00:31  0,0013 0,6242               0,0058
     22       30,509869 0:00:31  0,0014 0,6506               0,0061
     24       30,832901 0:00:31  0,0013 0,6377               0,0059
     26       31,592472 0:00:32  0,0014 0,6448               0,0060
     28       31,876383 0:00:32  0,0014 0,6653               0,0062
     30       31,361339 0:00:31  0,0014 0,6435               0,0060
     32       31,524266 0:00:32  0,0014 0,6527               0,0061
     34       33,353201 0:00:33  0,0015 0,6976               0,0065
     36       32,695746 0:00:33  0,0014 0,6802               0,0063
     38       32,869422 0:00:33  0,0014 0,6724               0,0063
     40       32,993773 0:00:33  0,0015 0,6889               0,0064
     42       34,071564 0:00:34  0,0015 0,7341               0,0068
     44       32,959763 0:00:33  0,0015 0,6891               0,0064
     46       32,887654 0:00:33  0,0015 0,7087               0,0066
     48       34,283868 0:00:34  0,0017 0,8138               0,0076
     50       33,593450 0:00:34  0,0017 0,8077               0,0075
     52       33,253255 0:00:33  0,0018 0,8344               0,0078
     54       34,738613 0:00:35  0,0022 1,0240               0,0095
     56       35,420999 0:00:35  0,0021 0,9976               0,0093
     58       36,300333 0:00:36  0,0022 1,0221               0,0095
     60       33,827280 0:00:34  0,0020 0,9574               0,0089
     62       34,923851 0:00:35  0,0023 1,0890               0,0101
     64       36,932604 0:00:37  0,0022 1,0446               0,0097
     66       36,050179 0:00:36  0,0023 1,0789               0,0100
     68       35,957700 0:00:36  0,0021 1,0131               0,0094
     70       36,490265 0:00:36  0,0022 1,0478               0,0097
     72       36,584882 0:00:37  0,0024 1,1244               0,0105
     74       35,471919 0:00:35  0,0020 0,9564               0,0089
     76       36,188036 0:00:36  0,0021 0,9978               0,0093
     78       35,591875 0:00:36  0,0020 0,9295               0,0086
     80       36,312001 0:00:36  0,0024 1,1228               0,0104
     82       35,977493 0:00:36  0,0022 1,0540               0,0098
     84       36,168140 0:00:36  0,0021 0,9834               0,0091
     86       36,738222 0:00:37  0,0023 1,0690               0,0099
     88       36,823446 0:00:37  0,0023 1,0933               0,0102
