 Treads  Execution Time    Time  Energy  CO2eq  km travelled by car
      2        63,17707 0:01:03  0,0027 1,2686               0,0118
      4        33,21682 0:00:33  0,0016 0,7561               0,0070
      6        25,05418 0:00:25  0,0013 0,6212               0,0058
      8        20,22414 0:00:20  0,0011 0,5217               0,0049
     10        18,79166 0:00:19  0,0011 0,5057               0,0047
     12        18,07100 0:00:18  0,0011 0,5070               0,0047
     14        17,32895 0:00:17  0,0011 0,5016               0,0047
     16        17,13147 0:00:17  0,0011 0,5054               0,0047
     18        17,04008 0:00:17  0,0011 0,5168               0,0048
     20        17,30786 0:00:17  0,0011 0,5328               0,0050
     22        17,64514 0:00:18  0,0012 0,5674               0,0053
     24        17,31292 0:00:17  0,0012 0,5615               0,0052
     26        17,75774 0:00:18  0,0012 0,5841               0,0054
     28        17,63799 0:00:18  0,0012 0,5906               0,0055
     30        17,62849 0:00:18  0,0013 0,6015               0,0056
     32        17,89301 0:00:18  0,0013 0,6178               0,0057
     34        18,61102 0:00:19  0,0013 0,6295               0,0059
     36        17,93670 0:00:18  0,0013 0,6323               0,0059
     38        18,93838 0:00:19  0,0014 0,6610               0,0061
     40        19,55072 0:00:20  0,0014 0,6831               0,0064
     42        18,16389 0:00:18  0,0015 0,6950               0,0065
     44        19,32602 0:00:19  0,0014 0,6661               0,0062
     46        19,70142 0:00:20  0,0016 0,7398               0,0069
     48        19,61914 0:00:20  0,0015 0,7054               0,0066
     50        19,22678 0:00:19  0,0015 0,7175               0,0067
     52        19,13383 0:00:19  0,0015 0,7043               0,0066
     54        19,41049 0:00:19  0,0015 0,7216               0,0067
     56        18,09487 0:00:18  0,0015 0,7109               0,0066
     58        18,02125 0:00:18  0,0015 0,6983               0,0065
     60        18,16928 0:00:18  0,0015 0,7044               0,0066
     62        17,85292 0:00:18  0,0015 0,7070               0,0066
     64        17,87382 0:00:18  0,0015 0,7215               0,0067
     66        17,04505 0:00:17  0,0015 0,7000               0,0065
     68        16,83632 0:00:17  0,0015 0,7047               0,0066
     70        16,75520 0:00:17  0,0015 0,6929               0,0064
     72        16,80428 0:00:17  0,0015 0,6973               0,0065
     74        16,89500 0:00:17  0,0015 0,7137               0,0066
     76        16,65133 0:00:17  0,0015 0,6930               0,0064
     78        16,58760 0:00:17  0,0014 0,6876               0,0064
     80        17,68144 0:00:18  0,0016 0,7410               0,0069
     82        17,04451 0:00:17  0,0015 0,7240               0,0067
     84        17,45558 0:00:17  0,0016 0,7397               0,0069
     86        18,16565 0:00:18  0,0016 0,7650               0,0071
     88        17,77422 0:00:18  0,0016 0,7592               0,0071
