 Treads  Execution Time    Time  Energy  CO2eq  km travelled by car
      2         3,27232 0:00:03  0,0001 0,0670               0,0006
      4         1,80600 0:00:02  0,0001 0,0414               0,0004
      6         1,24804 0:00:01  0,0001 0,0312               0,0003
      8         0,97017 0:00:01  0,0001 0,0252               0,0002
     10         0,88654 0:00:01  0,0000 0,0218               0,0002
     12         0,75907 0:00:01  0,0000 0,0000               0,0000
     14         0,61945 0:00:01  0,0000 0,0000               0,0000
     16         0,55301 0:00:01  0,0000 0,0000               0,0000
     18         0,45413 0:00:00  0,0000 0,0000               0,0000
     20         0,45793 0:00:00  0,0000 0,0000               0,0000
     22         0,54350 0:00:01  0,0000 0,0000               0,0000
     24         0,68724 0:00:01  0,0000 0,0000               0,0000
     26         0,58828 0:00:01  0,0000 0,0000               0,0000
     28         0,55364 0:00:01  0,0000 0,0000               0,0000
     30         0,60994 0:00:01  0,0000 0,0000               0,0000
     32         0,53110 0:00:01  0,0000 0,0000               0,0000
     34         0,49069 0:00:00  0,0000 0,0000               0,0000
     36         0,45929 0:00:00  0,0000 0,0000               0,0000
     38         0,44991 0:00:00  0,0000 0,0000               0,0000
     40         0,41136 0:00:00  0,0000 0,0000               0,0000
     42         0,41814 0:00:00  0,0000 0,0000               0,0000
     44         0,38872 0:00:00  0,0000 0,0000               0,0000
     46         0,44327 0:00:00  0,0000 0,0000               0,0000
     48         0,38941 0:00:00  0,0000 0,0000               0,0000
     50         0,41363 0:00:00  0,0000 0,0000               0,0000
     52         0,42042 0:00:00  0,0000 0,0000               0,0000
     54         0,39978 0:00:00  0,0000 0,0000               0,0000
     56         0,43159 0:00:00  0,0000 0,0000               0,0000
     58         0,55255 0:00:01  0,0000 0,0000               0,0000
     60         0,37855 0:00:00  0,0000 0,0000               0,0000
     62         0,36349 0:00:00  0,0000 0,0000               0,0000
     64         0,40513 0:00:00  0,0000 0,0000               0,0000
     66         0,57354 0:00:01  0,0000 0,0000               0,0000
     68         0,48455 0:00:00  0,0000 0,0000               0,0000
     70         0,50359 0:00:01  0,0000 0,0000               0,0000
     72         0,39499 0:00:00  0,0000 0,0000               0,0000
     74         0,45500 0:00:00  0,0000 0,0000               0,0000
     76         0,44123 0:00:00  0,0000 0,0000               0,0000
     78         0,44261 0:00:00  0,0000 0,0000               0,0000
     80         0,62706 0:00:01  0,0000 0,0000               0,0000
     82         0,38106 0:00:00  0,0000 0,0000               0,0000
     84         0,43974 0:00:00  0,0000 0,0000               0,0000
     86         0,65863 0:00:01  0,0000 0,0000               0,0000
     88         0,50244 0:00:01  0,0000 0,0000               0,0000
