 Treads  Execution Time    Time  Energy  CO2eq  km travelled by car
      1       77,990392 0:01:18  0,0017 0,8025               0,0075
      2       53,467028 0:00:53  0,0012 0,5781               0,0054
      3       46,338261 0:00:46  0,0011 0,5116               0,0048
      4       42,778079 0:00:43  0,0010 0,4665               0,0043
      5       41,572876 0:00:42  0,0010 0,4576               0,0043
      6       41,048768 0:00:41  0,0009 0,4416               0,0041
      7       41,236473 0:00:41  0,0010 0,4531               0,0042
      8       41,004458 0:00:41  0,0009 0,4501               0,0042
      9       43,789701 0:00:44  0,0010 0,4924               0,0046
     10       43,126134 0:00:43  0,0010 0,4954               0,0046
     11       42,352759 0:00:42  0,0010 0,4842               0,0045
     12       41,842295 0:00:42  0,0010 0,4789               0,0045
     13       41,800977 0:00:42  0,0010 0,4830               0,0045
     14       41,852893 0:00:42  0,0010 0,4836               0,0045
     15       42,070484 0:00:42  0,0010 0,4874               0,0045
     16       41,940545 0:00:42  0,0010 0,4871               0,0045
