 Treads  Execution Time    Time  Energy  CO2eq  km travelled by car
      1       134,84776 0:02:15  0,0036 1,6894               0,0157
      2        71,09534 0:01:11  0,0020 0,9428               0,0088
      3        50,70986 0:00:51  0,0015 0,6979               0,0065
      4        39,79392 0:00:40  0,0012 0,5788               0,0054
      5        35,34018 0:00:35  0,0011 0,5293               0,0049
      6        32,77222 0:00:33  0,0011 0,5046               0,0047
      7        31,88471 0:00:32  0,0011 0,5022               0,0047
      8        31,86269 0:00:32  0,0011 0,5122               0,0048
      9        43,00991 0:00:43  0,0014 0,6473               0,0060
     10        40,02984 0:00:40  0,0013 0,6120               0,0057
     11        37,35432 0:00:37  0,0012 0,5748               0,0053
     12        35,08275 0:00:35  0,0012 0,5501               0,0051
     13        33,73104 0:00:34  0,0011 0,5328               0,0050
     14        33,26026 0:00:33  0,0011 0,5290               0,0049
     15        33,34460 0:00:33  0,0011 0,5330               0,0050
     16        33,73035 0:00:34  0,0011 0,5417               0,0050
