Treads|Time|Energy|CO2eq|travelled
1|0:04:04|0,0063|2,9750|0,0277
2|0:02:22|0,0038|1,8018|0,0168
3|0:01:39|0,0028|0,3907|0,0036
4|0:01:21|0,0023|0,3292|0,0031
5|0:01:08|0,0020|0,2870|0,0027
6|0:01:00|0,0018|0,2611|0,0024
7|0:00:54|0,0017|0,2392|0,0022
8|0:00:48|0,0016|0,2210|0,0021
9|0:01:10|0,0022|0,3077|0,0029
10|0:01:08|0,0021|0,2983|0,0028
11|0:01:03|0,0020|0,2833|0,0026
12|0:01:01|0,0020|0,2770|0,0026
13|0:01:00|0,0019|0,2742|0,0026
14|0:00:58|0,0019|0,2657|0,0025
15|0:00:58|0,0019|0,2662|0,0025
16|0:01:00|0,0020|0,2767|0,0026
