Treads|Execution Time|Time|Energy|CO2eq|travelled
1|77,620925|0:01:18|0,0017|0,2391|0,0022
2|53,631120|0:00:54|0,0012|0,1752|0,0016
3|46,538545|0:00:47|0,0011|0,1562|0,0015
4|42,999000|0:00:43|0,0010|0,1406|0,0013
5|41,517365|0:00:42|0,0010|0,1368|0,0013
6|41,132462|0:00:41|0,0010|0,1348|0,0013
7|41,072043|0:00:41|0,0009|0,1341|0,0012
8|41,058398|0:00:41|0,0010|0,1356|0,0013
9|43,846694|0:00:44|0,0010|0,1476|0,0014
10|43,020093|0:00:43|0,0010|0,1477|0,0014
11|42,179326|0:00:42|0,0010|0,1452|0,0014
12|41,974623|0:00:42|0,0010|0,1448|0,0013
13|41,772859|0:00:42|0,0010|0,1441|0,0013
14|41,980074|0:00:42|0,0010|0,1462|0,0014
15|42,214015|0:00:42|0,0010|0,1476|0,0014
16|42,198235|0:00:42|0,0010|0,1473|0,0014
