Threads,time_seconds,Time,Energy,CO2eq,travelled
1,78.910567,0:01:19,0.0021,0.2971,0.0028
2,54.262455,0:00:54,0.0015,0.2129,0.0020
3,46.703964,0:00:47,0.0013,0.1859,0.0017
4,42.895592,0:00:43,0.0012,0.1685,0.0016
5,41.655687,0:00:42,0.0012,0.1651,0.0015
6,41.309170,0:00:41,0.0011,0.1624,0.0015
7,41.283798,0:00:41,0.0011,0.1623,0.0015
8,41.066859,0:00:41,0.0012,0.1632,0.0015
9,43.959808,0:00:44,0.0012,0.1759,0.0016
10,43.014516,0:00:43,0.0012,0.1751,0.0016
11,42.472206,0:00:42,0.0012,0.1739,0.0016
12,42.104460,0:00:42,0.0012,0.1719,0.0016
13,41.996003,0:00:42,0.0012,0.1722,0.0016
14,41.960761,0:00:42,0.0012,0.1733,0.0016
15,42.128333,0:00:42,0.0012,0.1738,0.0016
16,42.311619,0:00:42,0.0012,0.1760,0.0016
