Threads,time_seconds,Time,Energy,CO2eq,travelled
1,89.56119,0:01:30,0.0023,0.3306,0.0031
2,45.82588,0:00:46,0.0012,0.1764,0.0016
3,31.38548,0:00:31,0.0009,0.1253,0.0012
4,24.30663,0:00:24,0.0007,0.1005,0.0009
5,20.19582,0:00:20,0.0006,0.0830,0.0008
6,17.87827,0:00:18,0.0005,0.0754,0.0007
7,17.16453,0:00:17,0.0005,0.0737,0.0007
8,17.27616,0:00:17,0.0005,0.0753,0.0007
9,21.10007,0:00:21,0.0006,0.0888,0.0008
10,19.75042,0:00:20,0.0006,0.0842,0.0008
11,18.69721,0:00:19,0.0006,0.0798,0.0007
12,17.98546,0:00:18,0.0005,0.0779,0.0007
13,17.51710,0:00:18,0.0005,0.0759,0.0007
14,17.48490,0:00:17,0.0005,0.0766,0.0007
15,17.46779,0:00:17,0.0005,0.0772,0.0007
16,17.89733,0:00:18,0.0006,0.0785,0.0007
