Treads|Time|Energy|CO2eq|travelled
1|0:01:26|0,0019|0,2702|0,0025
2|0:00:44|0,0010|0,1465|0,0014
3|0:00:30|0,0007|0,1050|0,0010
4|0:00:24|0,0006|0,0852|0,0008
5|0:00:20|0,0005|0,0708|0,0007
6|0:00:18|0,0005|0,0651|0,0006
7|0:00:17|0,0005|0,0643|0,0006
8|0:00:17|0,0005|0,0654|0,0006
9|0:00:21|0,0005|0,0763|0,0007
10|0:00:20|0,0005|0,0729|0,0007
11|0:00:19|0,0005|0,0697|0,0006
12|0:00:18|0,0005|0,0678|0,0006
13|0:00:17|0,0005|0,0661|0,0006
14|0:00:17|0,0005|0,0664|0,0006
15|0:00:17|0,0005|0,0669|0,0006
16|0:00:18|0,0005|0,0676|0,0006
