Treads,time_seconds,Time,Energy,CO2eq,travelled
1,127.29712,0:02:07,0.0028,1.3439,0.0125
2,67.38646,0:01:07,0.0016,0.7677,0.0071
3,47.45521,0:00:47,0.0012,0.5768,0.0054
4,39.21052,0:00:39,0.0011,0.4997,0.0046
5,35.29316,0:00:35,0.0010,0.4650,0.0043
6,32.66261,0:00:33,0.0009,0.4447,0.0041
7,31.73139,0:00:32,0.0009,0.4438,0.0041
8,31.50595,0:00:32,0.0010,0.4527,0.0042
9,42.62993,0:00:43,0.0012,0.5633,0.0052
10,39.48070,0:00:39,0.0011,0.5320,0.0049
11,36.92429,0:00:37,0.0011,0.5065,0.0047
12,34.89746,0:00:35,0.0010,0.4873,0.0045
13,33.57823,0:00:34,0.0010,0.4713,0.0044
14,32.98374,0:00:33,0.0010,0.4681,0.0044
15,33.03896,0:00:33,0.0010,0.4726,0.0044
16,33.72560,0:00:34,0.0010,0.4864,0.0045
