Threads,time_seconds,Time,Energy,CO2eq,travelled
1,134.23924,0:02:14,0.0035,0.5007,0.0047
2,71.03565,0:01:11,0.0020,0.2787,0.0026
3,49.63736,0:00:50,0.0014,0.2052,0.0019
4,39.87155,0:00:40,0.0012,0.1731,0.0016
5,35.47748,0:00:35,0.0011,0.1589,0.0015
6,32.76265,0:00:33,0.0011,0.1514,0.0014
7,31.98174,0:00:32,0.0011,0.1509,0.0014
8,32.18422,0:00:32,0.0011,0.1539,0.0014
9,43.13715,0:00:43,0.0014,0.1936,0.0018
10,40.07266,0:00:40,0.0013,0.1827,0.0017
11,37.33560,0:00:37,0.0012,0.1726,0.0016
12,35.10469,0:00:35,0.0012,0.1636,0.0015
13,33.73611,0:00:34,0.0011,0.1581,0.0015
14,33.28021,0:00:33,0.0011,0.1574,0.0015
15,33.22076,0:00:33,0.0011,0.1580,0.0015
16,33.65814,0:00:34,0.0011,0.1609,0.0015
