Treads,time_seconds,Time,Energy,CO2eq,travelled
1,244.51,0:04:05,0.0053,0.7459,0.0069
2,142.62,0:02:23,0.0032,0.4601,0.0043
3,99.88,0:01:40,0.0024,0.3382,0.0031
4,80.06,0:01:20,0.0020,0.2827,0.0026
5,68.06,0:01:08,0.0018,0.2495,0.0023
6,60.10,0:01:00,0.0016,0.2280,0.0021
7,54.48,0:00:55,0.0015,0.2136,0.0020
8,49.05,0:00:49,0.0014,0.1993,0.0019
9,69.68,0:01:10,0.0019,0.2681,0.0025
10,67.28,0:01:07,0.0018,0.2608,0.0024
11,64.08,0:01:04,0.0018,0.2525,0.0023
12,60.96,0:01:01,0.0017,0.2446,0.0023
13,59.94,0:01:00,0.0017,0.2422,0.0023
14,58.70,0:00:59,0.0017,0.2407,0.0022
15,56.98,0:00:57,0.0017,0.2364,0.0022
16,58.58,0:00:59,0.0017,0.2444,0.0023
