Treads,time_seconds,Time,Energy,CO2eq,travelled
1,8.74476,0:00:09,0.0002,0.1065,0.0010
2,4.35120,0:00:04,0.0001,0.0561,0.0005
3,2.91544,0:00:03,0.0001,0.0395,0.0004
4,2.20181,0:00:02,0.0001,0.0314,0.0003
5,1.78097,0:00:02,0.0001,0.0263,0.0002
6,1.54587,0:00:02,0.0000,0.0237,0.0002
7,1.44722,0:00:01,0.0000,0.0227,0.0002
8,1.22273,0:00:01,0.0000,0.0199,0.0002
9,2.05116,0:00:02,0.0001,0.0310,0.0003
10,1.86006,0:00:02,0.0001,0.0286,0.0003
11,1.68861,0:00:02,0.0001,0.0261,0.0002
12,1.54360,0:00:02,0.0001,0.0244,0.0002
13,1.50113,0:00:02,0.0001,0.0238,0.0002
14,1.35300,0:00:01,0.0000,0.0219,0.0002
15,1.27028,0:00:01,0.0000,0.0208,0.0002
16,1.22671,0:00:01,0.0000,0.0202,0.0002
