Treads|Execution Time|Time|Energy|CO2eq|travelled
1|8,77488|0:00:09|0,0002|0,0318|0,0003
2|4,38093|0:00:04|0,0001|0,0169|0,0002
3|3,03317|0:00:03|0,0001|0,0123|0,0001
4|2,29212|0:00:02|0,0001|0,0096|0,0001
5|1,86594|0:00:02|0,0001|0,0082|0,0001
6|1,56283|0:00:02|0,0001|0,0072|0,0001
7|1,37095|0:00:01|0,0000|0,0064|0,0001
8|1,18349|0:00:01|0,0000|0,0058|0,0001
9|2,02444|0:00:02|0,0001|0,0091|0,0001
10|1,85519|0:00:02|0,0001|0,0085|0,0001
11|1,68798|0:00:02|0,0001|0,0078|0,0001
12|1,54698|0:00:02|0,0001|0,0073|0,0001
13|1,49210|0:00:01|0,0000|0,0070|0,0001
14|1,33072|0:00:01|0,0000|0,0064|0,0001
15|1,29873|0:00:01|0,0000|0,0063|0,0001
16|1,27138|0:00:01|0,0000|0,0062|0,0001
