Threads,time_seconds,Time,Energy,CO2eq,travelled
1,8.85328,0:00:09,0.0002,0.0270,0.0003
2,4.44785,0:00:04,0.0001,0.0143,0.0001
3,2.96253,0:00:03,0.0001,0.0101,0.0001
4,2.29557,0:00:02,0.0001,0.0083,0.0001
5,1.96465,0:00:02,0.0001,0.0074,0.0001
6,1.58359,0:00:02,0.0000,0.0063,0.0001
7,1.43873,0:00:01,0.0000,0.0059,0.0001
8,1.18806,0:00:01,0.0000,0.0051,0.0000
9,2.22027,0:00:02,0.0001,0.0086,0.0001
10,1.96432,0:00:02,0.0001,0.0077,0.0001
11,1.72764,0:00:02,0.0000,0.0069,0.0001
12,1.60782,0:00:02,0.0000,0.0065,0.0001
13,1.43893,0:00:01,0.0000,0.0060,0.0001
14,1.33989,0:00:01,0.0000,0.0057,0.0001
15,1.27815,0:00:01,0.0000,0.0055,0.0001
16,1.31518,0:00:01,0.0000,0.0056,0.0001
